year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	12	22	07	17	Mr_Digs	__Wildfire_	Iron Ingot	15.625	1000.0	64	world	[33, 71, 5]
2018	09	12	22	07	20	Mr_Digs	__Wildfire_	Iron Ingot	15.625	1000.0	64	world	[33, 71, 5]
2018	09	12	22	07	20	Mr_Digs	__Wildfire_	Iron Ingot	15.625	1000.0	64	world	[33, 71, 5]
2018	09	12	22	07	21	Mr_Digs	__Wildfire_	Iron Ingot	15.625	1000.0	64	world	[33, 71, 5]
2018	09	12	22	07	22	Mr_Digs	__Wildfire_	Iron Ingot	15.625	1000.0	64	world	[33, 71, 5]
2018	09	12	22	07	22	Mr_Digs	__Wildfire_	Iron Ingot	15.625	1000.0	64	world	[33, 71, 5]
2018	09	14	20	41	02	DjungelJarl	__Wildfire_	Iron Ingot	19.53125	1250.0	64	world	[33, 71, 5]
2018	09	14	20	41	05	DjungelJarl	__Wildfire_	Iron Ingot	19.53125	1250.0	64	world	[33, 71, 5]
2018	09	14	20	41	07	DjungelJarl	__Wildfire_	Iron Ingot	19.53125	1250.0	64	world	[33, 71, 5]
2018	09	14	20	41	09	DjungelJarl	__Wildfire_	Iron Ingot	19.53125	1250.0	64	world	[33, 71, 5]
2018	09	14	20	48	37	DjungelJarl	__Wildfire_	Iron Ingot	19.53125	1250.0	64	world	[33, 71, 5]
2018	09	15	16	48	41	callietho	__Wildfire_	Iron Ingot	19.531269841269843	1230.47	63	world	[33, 71, 5]
2018	09	15	17	48	07	callietho	__Wildfire_	Iron Ingot	19.53125	1250.0	64	world	[33, 71, 5]
2018	09	15	23	10	27	sharonclaws	__Wildfire_	Iron Ingot	19.53125	1250.0	64	world	[33, 71, 5]
2018	09	15	23	50	13	Mr_Digs	sharonclaws	Iron Ingot	18.75	1200.0	64	world	[-14, 64, 12]
2018	09	15	23	50	15	Mr_Digs	sharonclaws	Iron Ingot	18.75	1200.0	64	world	[-14, 64, 12]
2018	09	15	23	50	15	Mr_Digs	sharonclaws	Iron Ingot	18.75	1200.0	64	world	[-14, 64, 12]
2018	09	15	23	50	16	Mr_Digs	sharonclaws	Iron Ingot	18.75	1200.0	64	world	[-14, 64, 12]
2018	09	15	23	50	16	Mr_Digs	sharonclaws	Iron Ingot	18.75	1200.0	64	world	[-14, 64, 12]
2018	09	15	23	50	17	Mr_Digs	sharonclaws	Iron Ingot	18.75	1200.0	64	world	[-14, 64, 12]
2018	09	15	23	50	18	Mr_Digs	sharonclaws	Iron Ingot	18.75	1200.0	64	world	[-14, 64, 12]
2018	09	15	23	50	23	Mr_Digs	sharonclaws	Iron Ingot	18.75	1200.0	64	world	[-14, 64, 12]
