date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/01/01 19:28:23	Edwarrdd	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/01/06 12:48:45	NorraLigan	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/01/23 21:42:09	Stormrunners	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/01/30 11:37:54	monkeyboy448	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/01 20:16:59	Mowilag	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/02 16:16:03	UnToasted	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/02 23:51:21	coconewell92	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/03 16:06:07	Mowilag	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/05 19:40:07	nilssssss	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/05 20:07:58	coconewell92	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/07 22:29:24	coconewell92	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/13 15:55:16	Vallenius	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/14 21:05:17	Mowilag	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/15 12:21:07	Vallenius	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/16 11:54:48	BelegStrongbow	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/17 13:37:17	Miljanee	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/24 09:38:54	Dinonanna	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
2019/02/24 10:50:16	Miljanee	K9us	Iron Leggings#7u	4800.0	4800.0	1	world	[32, 71, -19]
