year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	27	20	15	20	Mowilag	K9us	Iron Pickaxe#6W	4000.0	4000.0	1	world	[36, 72, -21]
2018	12	01	07	07	43	NorraLigan	K9us	Iron Pickaxe#6W	4000.0	4000.0	1	world	[36, 72, -21]
2018	12	02	17	49	53	G4t1t4M1m0s4	K9us	Iron Pickaxe#6W	4000.0	4000.0	1	world	[36, 72, -21]
2018	12	24	01	59	38	Dragonslair7	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	01	06	12	53	08	NorraLigan	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	02	03	16	02	19	Mowilag	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	02	09	11	45	57	NorraLigan	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	02	11	10	34	25	NorraLigan	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	02	13	14	04	33	Miljanee	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	02	13	15	29	05	Miljanee	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	02	24	13	29	00	Dinonanna	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	07	22	39	50	ezrone	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	14	17	54	53	ezrone	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	15	18	07	02	ezrone	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	15	18	14	31	ezrone	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	17	00	15	47	ezrone	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	17	00	15	48	ezrone	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	17	00	15	49	ezrone	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	27	23	14	17	ezrone	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	27	23	14	38	Colonel_Ruff	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
2019	03	27	23	14	43	Colonel_Ruff	K9us	Iron Pickaxe#6W	2000.0	2000.0	1	world	[36, 72, -21]
