year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	27	13	54	20	HandyEric3	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	10	27	13	54	26	HandyEric3	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	10	27	14	29	40	HandyEric3	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	10	27	14	29	41	HandyEric3	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	10	27	14	29	45	HandyEric3	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	10	27	22	35	34	HandyEric3	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	11	02	05	29	56	HandyEric3	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	11	11	22	36	20	MiChupacabaras	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	11	11	22	36	23	MiChupacabaras	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	11	11	22	36	26	MiChupacabaras	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	11	11	22	36	27	MiChupacabaras	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	11	11	22	36	29	MiChupacabaras	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
2018	11	11	22	36	30	MiChupacabaras	pudzo	Iron Shovel#3E	1000.0	1000.0	1	world	[2020, 50, 277]
