year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	27	21	48	12	AteUrC00ki35	Dragonslair7	Item Frame	15.0	15.0	1	world	[-352, 70, 83]
2018	09	30	09	55	48	K9us	Dragonslair7	Item Frame	7.0	7.0	1	world	[-279, 70, 69]
2018	09	30	09	55	50	K9us	Dragonslair7	Item Frame	7.0	49.0	7	world	[-279, 70, 69]
2018	10	08	21	18	42	Haksndot	AteUrC00ki35	Item Frame	75.0	600.0	8	world	[-346, 74, 79]
2018	10	09	19	08	39	Haksndot	AteUrC00ki35	Item Frame	75.0	2025.0	27	world	[-346, 74, 79]
2018	11	10	16	47	29	Haksndot	Aewheros	Item Frame	300.0	300.0	1	world	[114, 73, -48]
2018	11	10	16	47	30	Haksndot	Aewheros	Item Frame	300.0	300.0	1	world	[114, 73, -48]
2018	11	10	16	47	30	Haksndot	Aewheros	Item Frame	300.0	300.0	1	world	[114, 73, -48]
2018	11	10	16	47	33	Haksndot	Aewheros	Item Frame	300.0	300.0	1	world	[114, 73, -48]
2018	11	12	14	35	19	Rille3000	AteUrC00ki35	Item Frame	150.0	150.0	1	world	[-346, 72, 78]
2019	03	10	17	07	23	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	10	17	07	32	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	10	17	07	32	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	10	17	07	33	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	10	17	07	34	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	10	17	07	34	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	10	17	07	35	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	10	17	07	36	ezrone	EnDristON	Item Frame	200.0	3800.0	19	world	[263, 91, 126]
2019	03	11	19	03	42	Vivifoxx	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	11	19	03	43	Vivifoxx	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	11	19	03	44	Vivifoxx	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	14	03	29	20	dandenoth	AteUrC00ki35	Item Frame	150.0	150.0	1	world	[-346, 72, 78]
2019	03	14	03	29	21	dandenoth	AteUrC00ki35	Item Frame	150.0	150.0	1	world	[-346, 72, 78]
2019	03	14	03	29	22	dandenoth	AteUrC00ki35	Item Frame	150.0	150.0	1	world	[-346, 72, 78]
2019	03	16	08	24	47	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	08	24	48	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	08	24	48	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	08	24	49	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	08	24	50	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	08	24	51	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	08	24	52	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	08	24	52	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	21	00	15	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	21	00	16	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	03	16	23	59	58	ezrone	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2019	03	16	23	59	59	ezrone	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2019	03	28	23	56	17	coconewell92	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2019	03	29	06	35	40	EnDristON	Colonel_Ruff	Item Frame	2.16671875	138.67	64	world	[283, 80, 200]
2019	03	29	06	35	42	EnDristON	Colonel_Ruff	Item Frame	2.1671428571428573	15.17	7	world	[283, 80, 200]
2019	03	30	05	12	32	dandenoth	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	04	01	19	58	31	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	32	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	33	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	34	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	35	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	37	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	38	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	39	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	39	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	01	19	58	41	Talrinion	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	04	03	16	07	47	EnDristON	Colonel_Ruff	Item Frame	2.1667241379310345	125.67	58	world	[283, 80, 200]
2019	04	13	16	09	13	Technerd05	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	04	16	09	27	12	frozenhammerz	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2019	04	16	09	27	13	frozenhammerz	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2019	04	16	09	27	14	frozenhammerz	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2019	04	16	09	27	14	frozenhammerz	EnDristON	Item Frame	200.0	12600.0	63	world	[263, 91, 126]
2019	05	20	10	38	22	NorraLigan	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	06	15	15	09	24	NiCe69	Colonel_Ruff	Item Frame	2.1666666666666665	6.5	3	world	[283, 80, 200]
2019	06	15	15	09	25	NiCe69	Colonel_Ruff	Item Frame	2.165	4.33	2	world	[283, 80, 200]
2019	06	19	13	51	48	rockfejset	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2019	07	02	10	10	53	jackcam6	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	07	02	10	10	54	jackcam6	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	07	02	10	10	54	jackcam6	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	07	02	10	10	55	jackcam6	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	07	02	10	10	56	jackcam6	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	07	25	08	52	38	Oaken_Ralph	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	07	25	08	52	39	Oaken_Ralph	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	08	08	15	33	01	ezrone	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2019	08	08	15	33	02	ezrone	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2019	08	08	15	33	03	ezrone	EnDristON	Item Frame	200.0	12800.0	64	world	[263, 91, 126]
2020	03	26	11	50	05	miniman927	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2020	03	26	11	50	06	miniman927	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2020	03	26	11	50	06	miniman927	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2020	03	26	11	50	07	miniman927	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
2020	03	26	11	50	07	miniman927	EnDristON	Item Frame	200.0	200.0	1	world	[263, 91, 126]
