year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	08	08	49	37	pudzo	K9us	Jungle Leaves	1.0	10.0	10	world	[14, 72, -21]
2018	10	08	08	49	42	pudzo	K9us	Jungle Leaves	1.0	64.0	64	world	[14, 72, -21]
2018	10	08	08	49	44	pudzo	K9us	Jungle Leaves	1.0	64.0	64	world	[14, 72, -21]
2018	10	08	08	49	45	pudzo	K9us	Jungle Leaves	1.0	64.0	64	world	[14, 72, -21]
2018	10	08	08	49	47	pudzo	K9us	Jungle Leaves	1.0	64.0	64	world	[14, 72, -21]
2018	10	08	08	49	47	pudzo	K9us	Jungle Leaves	1.0	60.0	60	world	[14, 72, -21]
2018	10	08	08	51	54	pudzo	Haksndot	Jungle Leaves	62.5	4000.0	64	world_nether	[-33, 116, -22]
2019	02	26	09	51	07	EnDristON	K9us	Jungle Leaves	8.0	264.0	33	world	[96, 62, -42]
2019	03	03	13	10	02	EnDristON	K9us	Jungle Leaves	8.0	120.0	15	world	[96, 62, -42]
2019	05	03	06	58	18	frozenhammerz	K9us	Jungle Leaves	8.0	8.0	1	world	[96, 62, -42]
2019	05	03	06	58	19	frozenhammerz	K9us	Jungle Leaves	8.0	8.0	1	world	[96, 62, -42]
2019	05	03	06	58	21	frozenhammerz	K9us	Jungle Leaves	8.0	8.0	1	world	[96, 62, -42]
