date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/06 14:08:00	frozenhammerz	K9us	Jungle Planks	35.0	2240.0	64	world	[16, 74, -19]
2018/10/06 14:08:01	frozenhammerz	K9us	Jungle Planks	35.0	2240.0	64	world	[16, 74, -19]
2018/10/06 14:08:04	frozenhammerz	K9us	Jungle Planks	35.0	2240.0	64	world	[16, 74, -19]
2018/11/17 01:06:33	frozenhammerz	K9us	Jungle Planks	30.0	1920.0	64	world	[15, 72, -18]
2018/11/17 01:07:23	frozenhammerz	K9us	Jungle Planks	30.0	1920.0	64	world	[15, 72, -18]
2018/11/17 01:07:25	frozenhammerz	K9us	Jungle Planks	30.0	660.0	22	world	[15, 72, -18]
2019/01/15 00:57:01	Captain_Handsome	K9us	Jungle Planks	23.0	23.0	1	world	[15, 72, -18]
2019/01/15 00:57:05	Captain_Handsome	K9us	Jungle Planks	23.0	23.0	1	world	[15, 72, -18]
2019/01/15 00:57:06	Captain_Handsome	K9us	Jungle Planks	23.0	23.0	1	world	[15, 72, -18]
2019/05/03 06:57:34	frozenhammerz	K9us	Jungle Planks	21.0	21.0	1	world	[91, 61, -57]
2019/05/03 06:57:36	frozenhammerz	K9us	Jungle Planks	21.0	21.0	1	world	[91, 61, -57]
2019/05/03 06:57:36	frozenhammerz	K9us	Jungle Planks	21.0	21.0	1	world	[91, 61, -57]
