date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/29 18:26:13	Butokuden	K9us	Lava Bucket	350.0	350.0	1	world	[50, 71, -25]
2018/09/29 18:26:14	Butokuden	K9us	Lava Bucket	350.0	350.0	1	world	[50, 71, -25]
2018/09/30 14:38:56	Jesper1972	K9us	Lava Bucket	350.0	350.0	1	world	[50, 71, -25]
2018/10/01 05:14:17	Jesper1972	K9us	Lava Bucket	350.0	350.0	1	world	[50, 71, -25]
2018/10/01 14:00:44	Jesper1972	K9us	Lava Bucket	350.0	350.0	1	world	[50, 71, -25]
2018/10/15 17:54:56	Butokuden	K9us	Lava Bucket	200.0	200.0	1	world	[50, 71, -25]
2018/10/25 16:44:08	Stormrunners	K9us	Lava Bucket	200.0	200.0	1	world	[50, 71, -25]
2018/10/27 03:42:03	NorraLigan	K9us	Lava Bucket	200.0	200.0	1	world	[50, 71, -25]
2018/10/27 03:42:04	NorraLigan	K9us	Lava Bucket	200.0	200.0	1	world	[50, 71, -25]
2019/02/06 10:40:56	Aewheros	Phantom_Ark	Lava Bucket	2500.0	2500.0	1	world	[-192, 64, 320]
2019/05/31 18:53:45	K9us	Phantom_Ark	Lava Bucket	2500.0	2500.0	1	world	[-192, 64, 320]
2019/07/01 17:34:06	jackcam6	Vivifoxx	Lava Bucket	100.0	100.0	1	world	[319, 72, 27]
2019/07/01 17:34:07	jackcam6	Vivifoxx	Lava Bucket	100.0	100.0	1	world	[319, 72, 27]
