date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/27 21:10:21	Cardano_ff	Remixster	Light Blue Dye	50.0	250.0	5	world	[77, 70, 10]
2018/10/18 18:44:31	Shahayhay	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2018/10/18 18:44:31	Shahayhay	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2018/10/18 18:44:32	Shahayhay	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2018/10/28 00:21:19	MiChupacabaras	Remixster	Light Blue Dye	12.5	75.0	6	world	[77, 70, 10]
2018/11/03 22:10:24	Captain_Handsome	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2018/11/23 18:52:28	Aewheros	sharonclaws	Light Blue Dye	5.0	320.0	64	world	[-7, 72, 10]
2018/11/28 12:39:13	Aewheros	sharonclaws	Light Blue Dye	5.0	320.0	64	world	[-7, 72, 10]
2018/11/28 23:40:26	freakdown	sharonclaws	Light Blue Dye	5.0	320.0	64	world	[-7, 72, 10]
2018/12/01 20:28:11	freakdown	sharonclaws	Light Blue Dye	5.0	320.0	64	world	[-7, 72, 10]
2018/12/06 03:36:48	freakdown	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2018/12/08 20:07:47	freakdown	sharonclaws	Light Blue Dye	5.0	320.0	64	world	[-7, 72, 10]
2018/12/08 20:07:48	freakdown	sharonclaws	Light Blue Dye	5.0	320.0	64	world	[-7, 72, 10]
2018/12/24 19:57:59	__Wildfire_	sharonclaws	Light Blue Dye	5.0	320.0	64	world	[-7, 72, 10]
2019/01/09 03:41:10	freakdown	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/17 19:45:47	ZeroGDucks	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/17 19:45:50	ZeroGDucks	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/17 19:46:13	ZeroGDucks	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/17 19:46:13	ZeroGDucks	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/17 19:46:14	ZeroGDucks	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/17 19:46:15	ZeroGDucks	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/17 19:46:15	ZeroGDucks	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/17 19:46:16	ZeroGDucks	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/01/18 00:56:03	cmanley1981	Remixster	Light Blue Dye	6.25	6.25	1	world	[56, 72, 23]
2019/02/01 15:04:39	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:40	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:40	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:41	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:42	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:42	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:43	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:44	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:45	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:46	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:47	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:47	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:48	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
2019/02/01 15:04:49	Nocturna12	sharonclaws	Light Blue Dye	5.0	5.0	1	world	[-7, 72, 10]
