year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	06	21	35	55	AteUrC00ki35	Remixster	Light Gray Dye	50.0	400.0	8	world	[73, 70, 10]
2018	10	06	21	35	58	AteUrC00ki35	Remixster	Light Gray Dye	50.0	400.0	8	world	[73, 70, 10]
2018	10	06	21	36	00	AteUrC00ki35	Remixster	Light Gray Dye	50.0	400.0	8	world	[73, 70, 10]
2018	10	06	21	36	02	AteUrC00ki35	Remixster	Light Gray Dye	50.0	400.0	8	world	[73, 70, 10]
2018	10	08	23	24	04	pudzo	Remixster	Light Gray Dye	50.0	250.0	5	world	[73, 70, 10]
2018	10	28	00	21	09	MiChupacabaras	Remixster	Light Gray Dye	12.5	100.0	8	world	[73, 70, 10]
2018	10	28	00	21	10	MiChupacabaras	Remixster	Light Gray Dye	12.5	100.0	8	world	[73, 70, 10]
2018	11	08	13	04	21	Aewheros	Remixster	Light Gray Dye	12.5	100.0	8	world	[73, 70, 10]
2018	11	10	10	29	04	TheScrubJay	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-5, 73, 10]
2018	11	28	12	39	24	Aewheros	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	11	28	12	39	27	Aewheros	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	22	21	19	09	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	22	21	19	10	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	22	21	19	11	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	22	21	19	12	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	22	21	19	13	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	22	21	19	14	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	22	21	19	15	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	22	21	19	15	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	23	21	02	16	__Wildfire_	Remixster	Light Gray Dye	6.25	400.0	64	world	[56, 72, 19]
2018	12	23	21	02	17	__Wildfire_	Remixster	Light Gray Dye	6.25	318.75	51	world	[56, 72, 19]
2018	12	23	21	02	50	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	23	21	02	51	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	23	21	02	51	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	23	21	02	52	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	23	21	02	53	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	23	21	02	53	__Wildfire_	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-5, 73, 10]
2018	12	23	21	02	54	__Wildfire_	sharonclaws	Light Gray Dye	5.0	275.0	55	world	[-5, 73, 10]
2019	01	09	03	41	09	freakdown	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-5, 73, 10]
2019	01	24	17	26	45	Aewheros	K9us	Light Gray Dye	5.5	165.0	30	world	[-1880, 6, 1577]
2019	02	11	07	43	47	EnDristON	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	17	08	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	17	10	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	17	10	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	17	11	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	17	12	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	29	13	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	29	14	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	29	14	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	13	29	15	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	20	56	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	20	57	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	20	58	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	20	59	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	02	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	02	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	03	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	04	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	04	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	05	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	05	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	06	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	06	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	08	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	08	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	10	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	11	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	12	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	12	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	16	14	21	13	AteUrC00ki35	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	02	23	20	21	16	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	23	20	21	17	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	23	20	21	18	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	23	20	21	18	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	23	20	21	19	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	23	20	21	20	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	23	20	21	21	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	23	20	21	23	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	24	14	29	15	Shahayhay	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	26	15	35	54	BelegStrongbow	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	02	26	20	27	52	BelegStrongbow	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	03	03	13	36	16	EnDristON	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	03	15	12	46	EnDristON	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	03	08	12	26	19	ezrone	Remixster	Light Gray Dye	6.25	56.25	9	world	[56, 72, 19]
2019	03	10	19	42	26	__Wildfire_	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	10	19	42	27	__Wildfire_	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	10	19	42	27	__Wildfire_	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	10	19	42	28	__Wildfire_	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	10	19	42	29	__Wildfire_	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	10	19	42	30	__Wildfire_	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	10	19	42	30	__Wildfire_	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	10	21	43	41	coconewell92	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	03	10	21	43	42	coconewell92	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	03	10	21	43	42	coconewell92	sharonclaws	Light Gray Dye	5.0	320.0	64	world	[-6, 59, 22]
2019	03	11	19	34	50	Vivifoxx	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	11	19	34	51	Vivifoxx	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	11	19	34	53	Vivifoxx	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
2019	03	11	19	34	53	Vivifoxx	sharonclaws	Light Gray Dye	5.0	5.0	1	world	[-6, 59, 22]
