date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/29 09:42:26	MajaAstrid	Remixster	Light Gray Glazed Terracotta	150.0	150.0	1	world	[57, 71, 11]
2019/01/30 13:20:39	Mr_Digs	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/01/30 13:20:40	Mr_Digs	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/01/30 13:20:41	Mr_Digs	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/01/31 23:55:38	nilssssss	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/01/31 23:55:39	nilssssss	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/01/31 23:55:40	nilssssss	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/01/31 23:55:40	nilssssss	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/02/12 15:48:46	Mr_Digs	Aewheros	Light Gray Glazed Terracotta	60.0	3840.0	64	world	[115, 66, -60]
2019/05/03 07:33:29	frozenhammerz	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/05/03 07:33:30	frozenhammerz	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
2019/05/03 07:33:30	frozenhammerz	Aewheros	Light Gray Glazed Terracotta	60.0	60.0	1	world	[115, 66, -60]
