year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	08	09	07	56	BredeBertil	WoopidyDoopidy	Light Gray Wool	6.25	18.75	3	world	[-49, 65, 36]
2018	09	15	11	54	56	Hrungner94	WoopidyDoopidy	Light Gray Wool	6.25	50.0	8	world	[-49, 65, 36]
2018	09	15	15	29	26	callietho	Remixster	Light Gray Wool	6.875	55.0	8	world	[99, 70, 36]
2018	09	19	18	59	18	frozenhammerz	Remixster	Light Gray Wool	6.875	440.0	64	world	[99, 70, 36]
2018	10	02	13	16	50	roesterberg	LightsChaos	Light Gray Wool	7.1875	230.0	32	world	[28, 69, 39]
2018	10	11	21	29	34	Shahayhay	WoopidyDoopidy	Light Gray Wool	6.25	50.0	8	world	[-49, 65, 36]
2018	10	11	21	29	35	Shahayhay	WoopidyDoopidy	Light Gray Wool	6.25	50.0	8	world	[-49, 65, 36]
2018	10	11	21	29	36	Shahayhay	WoopidyDoopidy	Light Gray Wool	6.25	50.0	8	world	[-49, 65, 36]
2018	10	11	21	29	36	Shahayhay	WoopidyDoopidy	Light Gray Wool	6.25	50.0	8	world	[-49, 65, 36]
2018	10	11	21	29	37	Shahayhay	WoopidyDoopidy	Light Gray Wool	6.25	50.0	8	world	[-49, 65, 36]
2018	10	14	16	03	29	sharonclaws	Remixster	Light Gray Wool	6.875	55.0	8	world	[99, 70, 36]
2018	10	14	16	03	30	sharonclaws	Remixster	Light Gray Wool	6.875	55.0	8	world	[99, 70, 36]
2018	10	14	16	03	30	sharonclaws	Remixster	Light Gray Wool	6.875	55.0	8	world	[99, 70, 36]
2018	10	14	16	10	48	sharonclaws	Remixster	Light Gray Wool	6.875	55.0	8	world	[99, 70, 36]
2018	10	14	16	10	48	sharonclaws	Remixster	Light Gray Wool	6.875	55.0	8	world	[99, 70, 36]
2018	10	14	16	10	49	sharonclaws	Remixster	Light Gray Wool	6.875	55.0	8	world	[99, 70, 36]
2018	11	29	16	40	10	K9us	Remixster	Light Gray Wool	6.875	440.0	64	world	[99, 70, 36]
2018	11	29	16	40	12	K9us	Remixster	Light Gray Wool	6.875	440.0	64	world	[99, 70, 36]
2018	11	29	16	40	15	K9us	Remixster	Light Gray Wool	6.875	440.0	64	world	[99, 70, 36]
2018	11	29	16	40	17	K9us	Remixster	Light Gray Wool	6.875	316.25	46	world	[99, 70, 36]
2018	12	23	09	23	27	G4t1t4M1m0s4	Remixster	Light Gray Wool	6.875	440.0	64	world	[99, 70, 36]
2018	12	23	09	23	29	G4t1t4M1m0s4	Remixster	Light Gray Wool	6.875079365079365	433.13	63	world	[99, 70, 36]
2018	12	23	09	58	00	DIOSWILSON	WoopidyDoopidy	Light Gray Wool	6.25	400.0	64	world	[-49, 65, 36]
2019	03	10	19	41	51	__Wildfire_	Remixster	Light Gray Wool	6.88	6.88	1	world	[99, 70, 36]
2019	04	20	18	07	19	Shahayhay	Remix_D_Miner	Light Gray Wool	6.875	440.0	64	world	[99, 70, 44]
