date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/02/23 18:10:06	EnDristON	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/02/23 18:10:07	EnDristON	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/02/23 18:10:08	EnDristON	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/02/23 18:10:08	EnDristON	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/02/23 18:10:09	EnDristON	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/02/23 18:10:10	EnDristON	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/02/23 18:10:10	EnDristON	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/02/23 18:10:11	EnDristON	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/03/14 08:39:32	EnDristON	sharonclaws	Lilac	15.0	960.0	64	world	[8, 58, 22]
2019/03/18 14:19:48	magemagemege	sharonclaws	Lilac	15.0	960.0	64	world	[8, 58, 22]
2019/03/18 14:19:49	magemagemege	sharonclaws	Lilac	15.0	960.0	64	world	[8, 58, 22]
2019/04/01 19:30:32	Haksndot	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/04/01 19:30:32	Haksndot	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/04/16 02:11:29	__Starlight_	sharonclaws	Lilac	15.0	960.0	64	world	[8, 58, 22]
2019/04/16 02:12:09	__Starlight_	sharonclaws	Lilac	15.0	960.0	64	world	[8, 58, 22]
2019/04/16 02:12:23	__Wildfire_	sharonclaws	Lilac	15.0	960.0	64	world	[8, 58, 22]
2019/05/04 07:13:29	K9us	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/05/05 00:59:38	__Wildfire_	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/05/05 00:59:39	__Wildfire_	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/05/05 00:59:40	__Wildfire_	sharonclaws	Lilac	15.0	15.0	1	world	[8, 58, 22]
2019/06/01 08:01:24	magemagemege	sharonclaws	Lilac	15.0	960.0	64	world	[8, 58, 22]
2019/06/16 09:27:24	NiCe69	sharonclaws	Lilac	15.0	960.0	64	world	[8, 58, 22]
