year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	09	10	22	35	ersi	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	22	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	23	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	24	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	25	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	26	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	26	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	27	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	27	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	29	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	29	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	30	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	31	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	31	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	32	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	33	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	33	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	34	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	34	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	35	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	36	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	37	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	37	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	38	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	38	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	39	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	40	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	41	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	41	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	42	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	42	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	43	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	10	15	09	44	DjungelJarl	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	11	23	10	59	Remixster	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	12	10	52	35	Daria_Knight	K9us	Lily Pad	1.0	1.0	1	world	[59, 70, -24]
2018	09	17	06	16	36	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	37	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	38	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	38	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	39	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	40	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	40	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	41	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	41	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	42	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	42	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	43	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	44	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
2018	09	17	06	16	44	DjungelJarl	K9us	Lily Pad	0.5	0.5	1	world	[59, 70, -24]
