year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	17	18	18	06	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	18	18	44	35	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	18	18	44	35	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	18	18	44	36	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	20	17	53	32	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	21	12	35	27	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	21	12	35	29	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	21	12	35	30	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	21	12	35	30	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	21	12	44	40	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	21	12	44	41	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	21	12	44	43	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	21	12	44	43	pudzo	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	22	22	14	15	Remixster	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	22	22	14	16	Remixster	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	25	21	33	35	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	25	21	33	37	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	25	21	33	38	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	25	21	33	39	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	25	21	33	40	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	25	21	33	41	Shahayhay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	10	25	21	33	41	Shahayhay	sharonclaws	Lime Dye	5.0	320.0	64	world	[-5, 71, 10]
2018	11	15	16	34	05	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	15	16	34	06	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	15	16	34	06	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	15	16	34	07	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	15	16	34	08	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	15	16	34	10	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	05	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	06	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	07	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	07	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	08	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	09	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	09	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	10	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	11	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	11	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	12	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	57	14	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	58	17	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	58	18	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	58	18	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	16	15	58	19	Stormrunners	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	11	23	18	52	23	Aewheros	sharonclaws	Lime Dye	5.0	320.0	64	world	[-5, 71, 10]
2018	11	28	12	39	16	Aewheros	sharonclaws	Lime Dye	5.0	320.0	64	world	[-5, 71, 10]
2018	12	01	20	27	08	freakdown	sharonclaws	Lime Dye	5.0	320.0	64	world	[-5, 71, 10]
2018	12	06	03	36	47	freakdown	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	12	14	11	27	39	TheScrubJay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	12	14	11	28	15	TheScrubJay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	12	14	11	28	16	TheScrubJay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	12	14	11	28	16	TheScrubJay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	12	19	13	32	46	G4t1t4M1m0s4	sharonclaws	Lime Dye	5.0	320.0	64	world	[-5, 71, 10]
2018	12	24	17	10	09	TheScrubJay	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2018	12	24	19	58	44	__Wildfire_	sharonclaws	Lime Dye	5.0	320.0	64	world	[-5, 71, 10]
2019	01	09	03	41	08	freakdown	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	11	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	12	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	13	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	13	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	14	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	14	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	15	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	15	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	16	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	17	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	17	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	18	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	19	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	19	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	20	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	20	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	21	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	21	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	22	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	23	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	23	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	24	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	25	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	22	45	25	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	14	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	15	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	18	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	19	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	20	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	20	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	21	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	21	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	22	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	23	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	23	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	24	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	25	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	25	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	26	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	01	21	23	11	26	ZeroGDucks	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	02	01	21	47	35	freakdown	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	02	01	21	47	35	freakdown	sharonclaws	Lime Dye	5.0	5.0	1	world	[-5, 71, 10]
2019	02	07	05	43	20	EnDristON	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	02	07	19	33	12	nilssssss	sharonclaws	Lime Dye	5.0	320.0	64	world	[-10, 58, 22]
2019	02	08	00	16	58	freakdown	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	02	11	07	43	19	EnDristON	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	02	26	15	33	11	BelegStrongbow	sharonclaws	Lime Dye	5.0	320.0	64	world	[-10, 58, 22]
2019	03	02	23	21	19	__Wildfire_	sharonclaws	Lime Dye	5.0	320.0	64	world	[-10, 58, 22]
2019	03	02	23	21	20	__Wildfire_	sharonclaws	Lime Dye	5.0	320.0	64	world	[-10, 58, 22]
2019	03	02	23	21	21	__Wildfire_	sharonclaws	Lime Dye	5.0	320.0	64	world	[-10, 58, 22]
2019	03	03	10	00	09	magemagemege	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	03	03	13	36	02	EnDristON	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	03	03	15	12	18	EnDristON	sharonclaws	Lime Dye	5.0	320.0	64	world	[-10, 58, 22]
2019	03	12	19	08	01	Vivifoxx	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	03	12	19	08	02	Vivifoxx	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	03	12	19	08	03	Vivifoxx	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	03	12	19	08	04	Vivifoxx	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	03	12	19	08	10	Vivifoxx	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	03	16	08	17	03	NorraLigan	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	04	05	23	01	18	dandenoth	sharonclaws	Lime Dye	5.0	5.0	1	world	[-10, 58, 22]
2019	04	13	15	41	07	magemagemege	sharonclaws	Lime Dye	5.0	320.0	64	world	[-10, 58, 22]
2019	04	13	15	41	08	magemagemege	sharonclaws	Lime Dye	5.0	320.0	64	world	[-10, 58, 22]
2019	04	17	00	50	40	dandenoth	sharonclaws	Lime Dye	7.0	448.0	64	world	[-10, 58, 22]
2019	04	20	03	37	06	dandenoth	sharonclaws	Lime Dye	7.0	448.0	64	world	[-10, 58, 22]
2019	04	20	03	37	22	dandenoth	sharonclaws	Lime Dye	7.0	448.0	64	world	[-10, 58, 22]
2019	04	23	01	16	07	Cardano_ff	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	04	23	01	16	08	Cardano_ff	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	04	23	01	16	09	Cardano_ff	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	04	23	01	16	09	Cardano_ff	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	05	03	07	03	10	frozenhammerz	sharonclaws	Lime Dye	7.0	448.0	64	world	[-10, 58, 22]
2019	05	10	21	17	33	magemagemege	sharonclaws	Lime Dye	7.0	448.0	64	world	[-10, 58, 22]
2019	05	10	21	17	33	magemagemege	sharonclaws	Lime Dye	7.0	448.0	64	world	[-10, 58, 22]
2019	05	10	21	17	34	magemagemege	sharonclaws	Lime Dye	7.0	448.0	64	world	[-10, 58, 22]
2019	06	12	13	55	33	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	33	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	34	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	34	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	35	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	36	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	36	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	37	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	37	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	38	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	39	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	39	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	40	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	40	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	41	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	42	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	42	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	43	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	44	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	44	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	45	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	46	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	46	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	47	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	48	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	48	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	49	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	50	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	51	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	51	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	52	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	53	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	53	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	54	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	55	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	55	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	56	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	57	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	57	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	58	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	59	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	55	59	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	00	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	01	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	01	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	02	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	02	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	03	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	04	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	04	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	05	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	06	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	06	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	07	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	08	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	09	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	09	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	10	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	11	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	11	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	12	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	12	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	13	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	12	13	56	14	Th3FerrariStig2	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	17	14	55	36	Stormchaserz	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	17	14	55	39	Stormchaserz	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	17	15	01	17	Stormchaserz	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	17	15	01	19	Stormchaserz	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	17	15	01	20	Stormchaserz	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
2019	06	17	15	01	20	Stormchaserz	sharonclaws	Lime Dye	7.0	7.0	1	world	[-10, 58, 22]
