year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	17	21	08	50	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	10	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	11	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	12	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	13	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	14	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	14	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	15	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	16	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	16	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	17	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	18	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	18	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	19	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	17	21	09	20	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	00	26	13	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	00	26	14	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	13	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	14	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	15	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	15	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	16	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	17	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	17	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	18	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	19	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	20	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	20	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	21	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	25	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	26	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	27	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	27	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	30	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
2019	03	27	22	01	31	Colonel_Ruff	EnDristON	Lime Stained Glass	30.0	30.0	1	world	[257, 84, 126]
