year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	04	12	16	03	spfoia	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2018	09	07	22	08	48	Haksndot	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2018	09	07	22	08	49	Haksndot	Remixster	Lime Wool	6.875238095238095	144.38	21	world	[108, 69, 34]
2018	09	13	18	37	26	Haksndot	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2018	09	13	18	37	28	Haksndot	Remixster	Lime Wool	6.875	440.0	64	world	[108, 69, 34]
2018	09	13	18	37	52	Haksndot	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2018	09	15	15	03	05	sharonclaws	Remixster	Lime Wool	6.875	41.25	6	world	[108, 69, 34]
2018	10	07	01	56	27	Dragonslair7	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2018	10	07	02	12	58	Dragonslair7	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2018	10	07	03	13	44	Dragonslair7	Remixster	Lime Wool	6.875	41.25	6	world	[108, 69, 34]
2018	11	08	15	08	13	Aewheros	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2018	11	15	16	32	43	Stormrunners	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2018	12	23	10	36	14	DIOSWILSON	Remixster	Lime Wool	6.875	440.0	64	world	[108, 69, 34]
2018	12	23	10	36	15	DIOSWILSON	Remixster	Lime Wool	6.875	440.0	64	world	[108, 69, 34]
2018	12	23	10	36	16	DIOSWILSON	Remixster	Lime Wool	6.875	440.0	64	world	[108, 69, 34]
2018	12	23	10	36	16	DIOSWILSON	Remixster	Lime Wool	6.875	440.0	64	world	[108, 69, 34]
2019	01	15	00	57	36	Captain_Handsome	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2019	01	31	18	22	10	EnDristON	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2019	02	26	16	09	07	__Tilt	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2019	03	02	18	50	34	__Wildfire_	Remixster	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2019	03	02	20	06	47	__Wildfire_	Remixster	Lime Wool	6.875	233.75	34	world	[108, 69, 34]
2019	03	29	00	54	32	Cesium_Knight	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[108, 69, 34]
2019	04	17	00	52	15	dandenoth	Remix_D_Miner	Lime Wool	6.875	440.0	64	world	[106, 69, 40]
2019	04	17	03	13	10	dandenoth	Remix_D_Miner	Lime Wool	6.875	440.0	64	world	[106, 69, 40]
2019	04	17	03	13	33	dandenoth	Remix_D_Miner	Lime Wool	6.875098039215686	350.63	51	world	[106, 69, 40]
2019	05	12	18	44	32	magemagemege	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
2019	05	12	18	44	32	magemagemege	Remix_D_Miner	Lime Wool	6.88	6.88	1	world	[106, 69, 40]
2019	05	12	18	47	12	magemagemege	EnDristON	Lime Wool	20.0	1280.0	64	world	[-341, 67, -449]
2019	05	12	19	01	26	magemagemege	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
2019	05	12	19	01	27	magemagemege	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
2019	05	12	19	01	27	magemagemege	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
2019	05	12	19	01	28	magemagemege	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
2019	05	12	19	01	29	magemagemege	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
2019	05	12	19	01	30	magemagemege	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
2019	05	12	19	01	31	magemagemege	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
2019	06	11	14	19	37	NiCe69	Remix_D_Miner	Lime Wool	6.875	55.0	8	world	[106, 69, 40]
