date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/30 13:40:42	MajaAstrid	Remixster	Magenta Dye	50.0	400.0	8	world	[75, 70, 10]
2018/10/13 19:33:17	Haksndot	sharonclaws	Magenta Dye	5.0	315.0	63	world	[-7, 71, 10]
2018/10/18 18:44:25	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/10/18 18:44:25	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/10/18 18:44:26	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/10/28 00:21:14	MiChupacabaras	Remixster	Magenta Dye	12.5	100.0	8	world	[75, 70, 10]
2018/10/28 00:21:15	MiChupacabaras	Remixster	Magenta Dye	12.5	100.0	8	world	[75, 70, 10]
2018/11/03 22:10:26	Captain_Handsome	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/11/08 13:10:43	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/11/08 13:10:44	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/11/08 13:10:44	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/11/08 13:10:45	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/11/08 13:10:45	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/11/08 13:10:46	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/11/08 13:10:47	Shahayhay	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/11/08 13:10:48	Shahayhay	sharonclaws	Magenta Dye	5.0	320.0	64	world	[-7, 71, 10]
2018/11/10 17:12:21	Heronproject	Remixster	Magenta Dye	12.5	100.0	8	world	[75, 70, 10]
2018/11/28 12:39:14	Aewheros	sharonclaws	Magenta Dye	5.0	320.0	64	world	[-7, 71, 10]
2018/12/04 20:12:30	G4t1t4M1m0s4	sharonclaws	Magenta Dye	5.0	320.0	64	world	[-7, 71, 10]
2018/12/06 03:36:49	freakdown	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2018/12/26 17:00:45	G4t1t4M1m0s4	sharonclaws	Magenta Dye	5.0	320.0	64	world	[-7, 71, 10]
2018/12/29 13:06:48	FatherTime__	sharonclaws	Magenta Dye	5.0	320.0	64	world	[-7, 71, 10]
2019/01/08 00:06:31	__Wildfire_	sharonclaws	Magenta Dye	5.0	320.0	64	world	[-7, 71, 10]
2019/01/17 19:46:17	ZeroGDucks	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2019/01/17 19:46:19	ZeroGDucks	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2019/01/17 19:46:20	ZeroGDucks	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2019/01/17 19:46:20	ZeroGDucks	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
2019/01/17 19:46:21	ZeroGDucks	sharonclaws	Magenta Dye	5.0	5.0	1	world	[-7, 71, 10]
