year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	06	22	04	12	Haksndot	Shahayhay	Magma Block	4.0	256.0	64	world	[74, 66, -319]
2018	09	06	22	04	12	Haksndot	Shahayhay	Magma Block	4.0	8.0	2	world	[74, 66, -319]
2018	11	03	04	43	00	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	01	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	01	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	02	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	02	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	03	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	04	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	04	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	05	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	03	04	43	05	TechnoWiking	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	08	19	13	49	Mowilag	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	09	09	00	23	Impression28	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	09	09	00	27	Impression28	K9us	Magma Block	225.0	225.0	1	world	[53, 73, -22]
2018	11	14	18	40	26	Aewheros	pudzo	Magma Block	20.0	1280.0	64	world	[-271, 64, -36]
2018	11	15	22	47	44	Aewheros	pudzo	Magma Block	20.0	1280.0	64	world	[-271, 64, -36]
2018	11	15	22	47	44	Aewheros	pudzo	Magma Block	20.0	1280.0	64	world	[-271, 64, -36]
2018	11	15	22	47	45	Aewheros	pudzo	Magma Block	20.0	1280.0	64	world	[-271, 64, -36]
2018	11	16	14	37	14	Aewheros	pudzo	Magma Block	20.0	1280.0	64	world	[-271, 64, -36]
2018	11	16	14	37	23	Aewheros	pudzo	Magma Block	20.0	180.0	9	world	[-271, 64, -36]
2018	11	25	02	42	15	TechnoWiking	K9us	Magma Block	110.0	110.0	1	world	[53, 73, -22]
2018	11	25	02	42	17	TechnoWiking	K9us	Magma Block	110.0	110.0	1	world	[53, 73, -22]
2018	11	25	02	42	18	TechnoWiking	K9us	Magma Block	110.0	110.0	1	world	[53, 73, -22]
2018	11	25	02	42	22	TechnoWiking	K9us	Magma Block	110.0	110.0	1	world	[53, 73, -22]
2018	11	25	02	42	23	TechnoWiking	K9us	Magma Block	110.0	110.0	1	world	[53, 73, -22]
2018	12	08	13	46	24	Heronproject	K9us	Magma Block	110.0	110.0	1	world	[53, 73, -22]
2018	12	08	13	47	17	Heronproject	K9us	Magma Block	110.0	110.0	1	world	[53, 73, -22]
2018	12	08	13	47	21	Heronproject	K9us	Magma Block	110.0	880.0	8	world	[53, 73, -22]
2019	02	22	17	05	35	BelegStrongbow	K9us	Magma Block	165.0	10560.0	64	world	[37, 73, -24]
2019	03	19	12	52	21	NorraLigan	K9us	Magma Block	165.0	165.0	1	world	[37, 73, -24]
2019	03	24	21	15	52	Colonel_Ruff	K9us	Magma Block	165.0	165.0	1	world	[37, 73, -24]
2019	04	08	14	50	48	AshGreninja2579	K9us	Magma Block	90.0	90.0	1	world	[-1849, 20, 1572]
2019	04	19	20	08	34	Vivifoxx	K9us	Magma Block	165.0	165.0	1	world	[37, 73, -24]
2019	05	03	06	27	22	frozenhammerz	K9us	Magma Block	110.0	110.0	1	world	[-1849, 18, 1572]
2019	05	03	06	27	23	frozenhammerz	K9us	Magma Block	110.0	110.0	1	world	[-1849, 18, 1572]
2019	05	03	06	27	24	frozenhammerz	K9us	Magma Block	110.0	110.0	1	world	[-1849, 18, 1572]
2019	05	17	14	17	15	Downhilldriver	K9us	Magma Block	70.0	4480.0	64	world	[-1849, 22, 1572]
2019	06	06	00	11	15	Oaken_Ralph	K9us	Magma Block	70.0	70.0	1	world	[-1849, 22, 1572]
2019	06	19	14	33	35	rockfejset	K9us	Magma Block	70.0	70.0	1	world	[-1849, 22, 1572]
2019	06	19	14	33	37	rockfejset	K9us	Magma Block	70.0	70.0	1	world	[-1849, 22, 1572]
2019	06	27	16	31	16	Vivifoxx	Downhilldriver	Magma Block	80.0	80.0	1	world	[426, 84, 126]
