year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	12	18	23	50	Heronproject	sharonclaws	Map	200.0	200.0	1	world	[11, 59, 16]
2019	01	12	18	23	52	Heronproject	sharonclaws	Map	200.0	200.0	1	world	[11, 59, 16]
2019	02	15	06	41	39	EnDristON	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	02	15	06	41	39	EnDristON	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	02	15	06	41	40	EnDristON	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	02	15	06	41	40	EnDristON	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	02	22	07	23	01	EnDristON	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	02	22	07	23	03	EnDristON	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	02	22	07	23	03	EnDristON	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	02	22	07	23	04	EnDristON	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	09	00	58	39	Ekelunds46	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	05	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	06	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	07	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	10	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	11	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	12	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	12	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	13	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	14	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	03	29	17	55	20	dandenoth	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	04	07	16	05	43	Technerd05	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	04	07	16	05	44	Technerd05	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	04	13	08	13	56	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	13	08	13	57	frozenhammerz	sharonclaws	Map	100.0	5000.0	50	world	[-14, 59, 19]
2019	04	16	09	21	16	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	16	09	21	17	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	16	09	21	17	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	16	09	21	18	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	16	09	21	19	frozenhammerz	sharonclaws	Map	100.0	2500.0	25	world	[-14, 59, 19]
2019	04	20	16	47	18	Per_R	sharonclaws	Map	100.0	100.0	1	world	[-14, 59, 19]
2019	04	23	06	08	46	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	40	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	41	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	42	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	42	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	43	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	44	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	44	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	45	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	46	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	46	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	47	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	47	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	48	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	48	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	49	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	50	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	50	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	51	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	52	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	52	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	09	53	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	21	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	22	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	23	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	23	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	24	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	24	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	25	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	26	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	26	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	27	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	27	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	28	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	29	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	29	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	30	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	30	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	31	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	32	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	32	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	33	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	33	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	10	34	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	11	03	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	11	04	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	11	05	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	11	05	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	11	06	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	11	06	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	11	07	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
2019	04	23	06	11	08	frozenhammerz	sharonclaws	Map	100.0	6400.0	64	world	[-14, 59, 19]
