year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	11	20	49	08	Jupiter_Romulus	K9us	Minecart	300.0	300.0	1	world_nether	[-240, 107, 184]
2019	02	19	14	35	25	Umby99	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	16	14	29	10	Mathemagician4	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	29	05	07	15	K9us	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	29	05	07	16	K9us	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	29	05	07	17	K9us	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	29	05	07	18	K9us	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	29	05	07	18	K9us	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	29	05	07	19	K9us	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	29	05	07	19	K9us	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	04	29	05	07	20	K9us	IviAc	Minecart	50.0	50.0	1	world	[50, 73, -22]
2019	07	03	13	38	29	Oaken_Ralph	K9us	Minecart	300.0	300.0	1	world_nether	[-240, 107, 184]
