date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/05 17:46:27	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:28	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:29	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:30	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:30	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:32	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:33	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:34	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:35	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:40	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:46:50	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:47:06	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:47:12	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 17:47:12	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:07	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:08	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:09	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:10	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:11	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:12	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:13	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:13	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:14	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/05 23:55:15	Combat_Biscuit	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:35	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:36	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:36	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:37	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:38	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:39	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:39	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:40	Shahayhay	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/07 19:24:46	Shahayhay	K9us	Name Tag	1.0	64.0	64	world	[60, 70, -24]
2018/09/08 01:03:16	__Wildfire_	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
2018/09/08 01:03:18	__Wildfire_	K9us	Name Tag	1.0	1.0	1	world	[60, 70, -24]
