year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	04	07	33	26	Baskerboss	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	07	33	28	Baskerboss	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	08	13	17	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	08	13	18	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	08	13	19	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	08	13	19	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	11	34	NullCase	Haksndot	Nether Brick	0.8592592592592593	23.2	27	world_nether	[-9, 113, -21]
2018	09	04	17	11	41	NullCase	Haksndot	Nether Brick	0.8592592592592593	23.2	27	world_nether	[-9, 113, -21]
2018	09	04	17	11	47	NullCase	Haksndot	Nether Brick	0.859375	27.5	32	world_nether	[-9, 113, -21]
2018	09	04	17	11	52	NullCase	Haksndot	Nether Brick	0.8594444444444445	30.94	36	world_nether	[-9, 113, -21]
2018	09	04	17	11	56	NullCase	Haksndot	Nether Brick	0.8592682926829267	35.23	41	world_nether	[-9, 113, -21]
2018	09	04	17	12	01	NullCase	Haksndot	Nether Brick	0.8593478260869566	39.53	46	world_nether	[-9, 113, -21]
2018	09	04	17	12	05	NullCase	Haksndot	Nether Brick	0.8594444444444443	46.41	54	world_nether	[-9, 113, -21]
2018	09	04	17	12	10	NullCase	Haksndot	Nether Brick	0.8593220338983051	50.7	59	world_nether	[-9, 113, -21]
2018	09	04	17	12	14	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	19	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	19	NullCase	Haksndot	Nether Brick	0.8592307692307692	11.17	13	world_nether	[-9, 113, -21]
2018	09	04	17	12	24	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	25	NullCase	Haksndot	Nether Brick	0.8595652173913043	19.77	23	world_nether	[-9, 113, -21]
2018	09	04	17	12	30	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	31	NullCase	Haksndot	Nether Brick	0.8594444444444445	30.94	36	world_nether	[-9, 113, -21]
2018	09	04	17	12	36	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	37	NullCase	Haksndot	Nether Brick	0.8593877551020408	42.11	49	world_nether	[-9, 113, -21]
2018	09	04	17	12	44	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	44	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	51	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	52	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	17	12	52	NullCase	Haksndot	Nether Brick	0.8594117647058823	14.61	17	world_nether	[-9, 113, -21]
2018	09	04	17	12	58	NullCase	Haksndot	Nether Brick	0.8593617021276596	40.39	47	world_nether	[-9, 113, -21]
2018	09	04	18	54	31	Baskerboss	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	18	54	32	Baskerboss	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	18	54	34	Baskerboss	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	04	18	54	35	Baskerboss	Haksndot	Nether Brick	0.8593333333333334	25.78	30	world_nether	[-9, 113, -21]
2018	09	05	10	23	24	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	25	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	26	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	26	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	27	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	27	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	28	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	29	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	29	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	30	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	31	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	31	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	39	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	40	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	40	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	41	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	57	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	58	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	59	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	23	59	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	24	00	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	24	00	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	24	01	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	10	24	01	NullCase	Haksndot	Nether Brick	0.8595652173913043	19.77	23	world_nether	[-9, 113, -21]
2018	09	05	12	42	56	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	12	42	56	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
2018	09	05	12	42	57	NullCase	Haksndot	Nether Brick	0.859375	55.0	64	world_nether	[-9, 113, -21]
