year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	07	28	11	56	22	Srood	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	07	28	11	56	31	Srood	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	07	28	11	56	31	Srood	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	07	28	11	56	32	Srood	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	08	09	17	52	36	johsjohsjohs	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	08	11	20	11	19	Marcus265	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	08	25	14	43	08	RyanJG	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	08	25	14	52	22	RyanJG	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	08	25	14	52	24	RyanJG	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	08	25	14	52	25	RyanJG	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	08	25	14	52	26	RyanJG	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	08	25	14	52	27	RyanJG	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
2019	09	03	06	55	18	EnDristON	NullCase	Nether Star	5000.0	5000.0	1	world	[-142, 67, -12]
