year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	03	14	32	25	Vrael1	sharonclaws	Nether Wart	25.0	1600.0	64	world	[-7, 9, -2338]
2018	10	14	19	37	04	Dragonslair7	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	10	17	15	42	28	Mr_Digs	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	10	17	15	42	34	Mr_Digs	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	10	17	15	42	35	Mr_Digs	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	10	17	15	42	36	Mr_Digs	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	10	17	21	26	02	pudzo	steelpanmaster	Nether Wart	15.0	15.0	1	world	[1094, 64, -2398]
2018	10	17	21	26	13	pudzo	steelpanmaster	Nether Wart	15.0	960.0	64	world	[1094, 64, -2398]
2018	10	17	22	47	37	__Wildfire_	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	10	20	20	47	19	Haksndot	Shahayhay	Nether Wart	25.0	1600.0	64	world_the_end	[94, 57, -85]
2018	10	20	20	47	25	Haksndot	Shahayhay	Nether Wart	25.0	1600.0	64	world_the_end	[94, 57, -85]
2018	10	20	20	47	26	Haksndot	Shahayhay	Nether Wart	25.0	1600.0	64	world_the_end	[94, 57, -85]
2018	10	20	20	47	26	Haksndot	Shahayhay	Nether Wart	25.0	1600.0	64	world_the_end	[94, 57, -85]
2018	10	21	15	19	51	PizzaJon	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	11	07	00	14	56	Remixster	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	11	20	23	01	09	pudzo	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	11	20	23	01	12	pudzo	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	11	20	23	01	12	pudzo	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	11	20	23	01	24	Phantom_Ark	Shahayhay	Nether Wart	25.0	250.0	10	world_the_end	[94, 57, -85]
2018	11	21	18	13	55	rubez	pudzo	Nether Wart	1.0	1.0	1	world	[-228, 64, 20]
2018	11	27	14	39	18	Heronproject	pudzo	Nether Wart	1.0	1.0	1	world	[-228, 64, 20]
2018	11	27	14	39	22	Heronproject	pudzo	Nether Wart	1.0	46.0	46	world	[-228, 64, 20]
2018	11	28	14	17	24	NorraLigan	Phantom_Ark	Nether Wart	10.0	10.0	1	world	[-171, 65, 338]
2018	11	28	14	17	25	NorraLigan	Phantom_Ark	Nether Wart	10.0	10.0	1	world	[-171, 65, 338]
2018	11	29	19	07	49	freakdown	Phantom_Ark	Nether Wart	10.0	640.0	64	world	[-171, 65, 338]
2018	12	25	18	39	38	ThomasDaFarmer	pudzo	Nether Wart	1.0	1.0	1	world	[-228, 64, 20]
2018	12	26	14	24	35	G4t1t4M1m0s4	K9us	Nether Wart	11.0	11.0	1	world	[-1845, 18, 1572]
2019	01	03	12	23	34	NullCase	K9us	Nether Wart	6.0	6.0	1	world	[-1845, 23, 1572]
2019	01	03	12	23	38	NullCase	K9us	Nether Wart	7.0	448.0	64	world	[-1845, 22, 1572]
2019	01	04	21	02	06	NullCase	K9us	Nether Wart	7.0	448.0	64	world	[-1845, 22, 1572]
2019	01	04	21	02	08	NullCase	K9us	Nether Wart	7.0	7.0	1	world	[-1845, 22, 1572]
2019	01	04	21	02	11	NullCase	K9us	Nether Wart	8.0	512.0	64	world	[-1845, 21, 1572]
2019	01	04	21	02	13	NullCase	K9us	Nether Wart	8.0	512.0	64	world	[-1845, 21, 1572]
2019	01	04	21	02	15	NullCase	K9us	Nether Wart	8.0	512.0	64	world	[-1845, 21, 1572]
2019	01	07	06	42	47	NorraLigan	Phantom_Ark	Nether Wart	10.0	350.0	35	world	[-171, 65, 338]
2019	01	08	01	33	08	freakdown	K9us	Nether Wart	7.0	448.0	64	world	[-1845, 22, 1572]
2019	01	12	16	06	51	Stormrunners	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	01	12	16	06	52	Stormrunners	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	01	12	16	06	53	Stormrunners	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	01	12	16	06	53	Stormrunners	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	01	12	16	06	54	Stormrunners	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	01	12	16	06	54	Stormrunners	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	01	21	00	59	25	Psyper77	pudzo	Nether Wart	1.0	1.0	1	world	[-228, 64, 20]
2019	01	24	18	21	12	Vivifoxx	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	01	29	12	11	03	AshGreninja2579	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	02	02	14	46	21	Stormrunners	pudzo	Nether Wart	1.0	64.0	64	world	[-228, 64, 20]
2019	02	02	15	05	40	Aewheros	NullCase	Nether Wart	8.0	512.0	64	world	[-134, 64, 9]
2019	02	02	15	05	41	Aewheros	NullCase	Nether Wart	8.0	512.0	64	world	[-134, 64, 9]
2019	02	03	16	59	38	jack30ice	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	02	03	16	59	45	jack30ice	NullCase	Nether Wart	8.0	8.0	1	world	[-134, 64, 9]
2019	02	11	17	13	26	Stormrunners	pudzo	Nether Wart	1.0	64.0	64	world	[-228, 64, 20]
