year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	24	01	59	31	Butokuden	K9us	Oak Door	40.0	40.0	1	world	[15, 72, -21]
2018	09	25	02	01	11	LightsChaos	K9us	Oak Door	40.0	2560.0	64	world	[15, 72, -21]
2018	09	25	02	01	31	LightsChaos	K9us	Oak Door	40.0	2560.0	64	world	[15, 72, -21]
2018	09	25	02	01	32	LightsChaos	K9us	Oak Door	40.0	2560.0	64	world	[15, 72, -21]
2018	09	25	02	01	33	LightsChaos	K9us	Oak Door	40.0	1040.0	26	world	[15, 72, -21]
2019	05	03	06	47	41	frozenhammerz	K9us	Oak Door	22.0	22.0	1	world	[48, 61, -78]
2019	05	03	06	47	42	frozenhammerz	K9us	Oak Door	22.0	22.0	1	world	[48, 61, -78]
2019	05	03	06	47	42	frozenhammerz	K9us	Oak Door	22.0	22.0	1	world	[48, 61, -78]
2019	05	05	07	20	21	frozenhammerz	K9us	Oak Door	22.0	1408.0	64	world	[48, 61, -78]
2019	05	05	07	20	22	frozenhammerz	K9us	Oak Door	22.0	616.0	28	world	[48, 61, -78]
2019	06	24	14	43	22	pepparkaksgubbe	K9us	Oak Door	22.0	22.0	1	world	[48, 61, -78]
