date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/27 23:37:21	MiChupacabaras	Haksndot	Oak Leaves	60.0	60.0	1	world_nether	[-26, 112, -39]
2018/10/28 00:00:42	MiChupacabaras	Haksndot	Oak Leaves	60.0	3840.0	64	world_nether	[-26, 112, -39]
2018/10/28 00:33:48	MiChupacabaras	Haksndot	Oak Leaves	60.0	3840.0	64	world_nether	[-26, 112, -39]
2018/10/28 00:33:51	MiChupacabaras	Haksndot	Oak Leaves	60.0	3840.0	64	world_nether	[-26, 112, -39]
2018/10/29 19:46:51	MiChupacabaras	Haksndot	Oak Leaves	60.0	3840.0	64	world_nether	[-26, 112, -39]
2018/10/29 19:46:52	MiChupacabaras	Haksndot	Oak Leaves	60.0	2700.0	45	world_nether	[-26, 112, -39]
2018/10/29 22:17:14	MiChupacabaras	Haksndot	Oak Leaves	60.0	3840.0	64	world_nether	[-26, 112, -39]
2018/10/29 22:17:15	MiChupacabaras	Haksndot	Oak Leaves	60.0	3840.0	64	world_nether	[-26, 112, -39]
2018/11/03 02:20:01	__Wildfire_	Haksndot	Oak Leaves	60.0	60.0	1	world_nether	[-26, 112, -39]
2018/11/03 19:18:59	MiChupacabaras	Haksndot	Oak Leaves	60.0	3840.0	64	world_nether	[-26, 112, -39]
2018/11/18 02:35:01	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:02	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:04	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:05	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:07	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:20	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:21	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:21	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:22	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:23	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:23	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:24	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:24	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:25	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:26	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:26	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:27	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:27	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:28	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:29	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:29	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:30	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:30	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:31	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:32	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:32	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
2018/11/18 02:35:33	MoonPanapy	Haksndot	Oak Leaves	10.0	10.0	1	world_nether	[-26, 112, -39]
