year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	16	23	26	24	Phantom_Ark	K9us	Oak Sapling	150.0	150.0	1	world	[20, 71, -25]
2018	11	27	15	11	20	Heronproject	Haksndot	Oak Sapling	100.0	100.0	1	world	[-117, 63, -35]
2018	12	08	12	39	16	G4t1t4M1m0s4	K9us	Oak Sapling	150.0	150.0	1	world	[20, 71, -25]
2018	12	08	12	39	17	G4t1t4M1m0s4	K9us	Oak Sapling	150.0	150.0	1	world	[20, 71, -25]
2018	12	08	12	39	17	G4t1t4M1m0s4	K9us	Oak Sapling	150.0	150.0	1	world	[20, 71, -25]
2018	12	08	12	39	18	G4t1t4M1m0s4	K9us	Oak Sapling	150.0	150.0	1	world	[20, 71, -25]
2018	12	12	15	41	39	K9us	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2018	12	12	15	41	40	K9us	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2018	12	12	15	41	40	K9us	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2018	12	12	15	41	41	K9us	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2018	12	12	15	41	42	K9us	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2018	12	12	15	41	42	K9us	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2018	12	12	15	41	43	K9us	Remixster	Oak Sapling	6.25	100.0	16	world	[62, 74, 24]
2019	01	01	20	02	23	magemagemege	Haksndot	Oak Sapling	100.0	6400.0	64	world	[-130, 63, -31]
2019	01	03	09	53	07	magemagemege	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2019	01	03	09	55	24	magemagemege	Remixster	Oak Sapling	6.25	168.75	27	world	[62, 74, 24]
2019	02	03	18	48	22	Aewheros	EnDristON	Oak Sapling	40.0	2000.0	50	world	[-321, 72, -429]
2019	02	08	15	29	53	Stormrunners	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2019	02	08	15	29	54	Stormrunners	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2019	02	08	15	31	10	Stormrunners	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2019	02	08	15	31	10	Stormrunners	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2019	02	08	15	31	12	Stormrunners	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2019	02	08	15	31	13	Stormrunners	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2019	02	08	15	33	40	Stormrunners	Remixster	Oak Sapling	6.25	50.0	8	world	[62, 74, 24]
2019	02	24	14	32	26	EnDristON	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	02	25	14	07	46	kayoss123	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	03	12	16	48	18	Heronproject	EnDristON	Oak Sapling	2.272727272727273	50.0	22	world	[265, 79, 126]
2019	03	24	23	35	09	ezrone	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	03	30	20	26	07	Cesium_Knight	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	04	01	21	04	04	Meyoo	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	04	01	21	04	06	Meyoo	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	04	03	16	04	31	EnDristON	Colonel_Ruff	Oak Sapling	0.75	12.0	16	world	[248, 80, 189]
2019	04	03	16	07	29	EnDristON	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	01	16	17	36	AshGreninja2579	Haksndot	Oak Sapling	100.0	6400.0	64	world	[-130, 63, -31]
2019	05	01	19	00	36	Aewheros	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	05	03	07	25	44	frozenhammerz	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	05	03	07	25	44	frozenhammerz	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	05	03	07	25	45	frozenhammerz	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	05	04	03	57	37	Pancen	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	05	04	05	30	22	Pancen	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	05	05	06	58	43	Pancen	__Wildfire_	Oak Sapling	80.0	80.0	1	world_nether	[251, 112, -19]
2019	05	06	20	55	16	Pancen	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	06	20	55	17	Pancen	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	06	20	55	21	Pancen	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	06	20	55	22	Pancen	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	06	20	55	22	Pancen	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	06	20	55	23	Pancen	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	06	20	55	24	Pancen	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	06	20	55	24	Pancen	Colonel_Ruff	Oak Sapling	0.75	7.5	10	world	[248, 80, 189]
2019	05	23	18	47	14	Aewheros	Colonel_Ruff	Oak Sapling	0.75	12.0	16	world	[248, 80, 189]
2019	05	23	18	47	17	Aewheros	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	23	18	47	19	Aewheros	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	23	18	47	24	Aewheros	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	23	18	47	27	Aewheros	Colonel_Ruff	Oak Sapling	0.75	48.0	64	world	[248, 80, 189]
2019	05	23	18	47	28	Aewheros	Colonel_Ruff	Oak Sapling	0.75	32.25	43	world	[248, 80, 189]
2019	06	13	16	23	34	Stormrunners	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	06	18	14	05	00	rockfejset	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	06	18	15	14	47	Stormrunners	EnDristON	Oak Sapling	50.0	1500.0	30	world	[-320, 72, -430]
2019	06	24	14	49	25	Stormrunners	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	06	28	16	30	27	Stormrunners	EnDristON	Oak Sapling	50.0	50.0	1	world	[-320, 72, -430]
2019	07	06	12	14	28	Vallenius	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	07	06	12	14	29	Vallenius	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	07	06	12	14	30	Vallenius	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	07	08	09	47	28	NullCase	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	07	08	16	20	52	Dredhounds	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	07	19	05	45	13	Vallenius	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	07	19	05	45	14	Vallenius	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	07	19	05	45	16	Vallenius	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	07	19	05	45	16	Vallenius	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	07	19	05	45	19	Vallenius	K9us	Oak Sapling	88.0	5632.0	64	world	[46, 62, -42]
2019	08	02	19	44	50	Marcus265	Colonel_Ruff	Oak Sapling	0.75	12.0	16	world	[248, 80, 189]
2019	08	06	09	34	56	EnDristON	Haksndot	Oak Sapling	100.0	6400.0	64	world	[-130, 63, -31]
2019	08	09	04	26	38	kahlayla	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	08	17	01	42	17	Afk_Robot	__Wildfire_	Oak Sapling	80.0	80.0	1	world_nether	[251, 112, -19]
2019	08	17	01	42	18	Afk_Robot	__Wildfire_	Oak Sapling	80.0	80.0	1	world_nether	[251, 112, -19]
2019	08	17	01	42	19	Afk_Robot	__Wildfire_	Oak Sapling	80.0	80.0	1	world_nether	[251, 112, -19]
2019	08	17	01	42	19	Afk_Robot	__Wildfire_	Oak Sapling	80.0	80.0	1	world_nether	[251, 112, -19]
2019	08	21	04	46	01	__Wildfire_	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	08	21	04	46	01	__Wildfire_	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	09	14	21	10	05	TheNormalToast	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	09	15	08	23	49	vemppasalo	Haksndot	Oak Sapling	100.0	100.0	1	world	[-130, 63, -31]
2019	09	17	19	06	17	Oaken_Ralph	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	09	17	19	06	19	Oaken_Ralph	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	09	17	19	06	20	Oaken_Ralph	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	09	17	19	06	21	Oaken_Ralph	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	09	17	19	06	21	Oaken_Ralph	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
2019	09	17	19	06	22	Oaken_Ralph	K9us	Oak Sapling	88.0	88.0	1	world	[46, 62, -42]
