year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	19	18	45	41	frozenhammerz	K9us	Oak Slab	10.0	640.0	64	world	[15, 72, -15]
2018	09	19	18	45	42	frozenhammerz	K9us	Oak Slab	10.0	640.0	64	world	[15, 72, -15]
2018	09	24	03	10	25	Butokuden	K9us	Oak Slab	10.0	640.0	64	world	[15, 72, -15]
2018	09	24	03	10	26	Butokuden	K9us	Oak Slab	10.0	640.0	64	world	[15, 72, -15]
2018	09	24	03	10	27	Butokuden	K9us	Oak Slab	10.0	640.0	64	world	[15, 72, -15]
2018	09	24	03	50	59	Butokuden	K9us	Oak Slab	10.0	640.0	64	world	[15, 72, -15]
2018	09	24	03	51	02	Butokuden	K9us	Oak Slab	10.0	540.0	54	world	[15, 72, -15]
2018	10	07	08	59	22	Baskerboss	K9us	Oak Slab	10.0	10.0	1	world	[15, 72, -15]
2018	10	07	08	59	23	Baskerboss	K9us	Oak Slab	10.0	10.0	1	world	[15, 72, -15]
2019	05	03	06	47	30	frozenhammerz	K9us	Oak Slab	6.0	6.0	1	world	[48, 61, -60]
2019	05	03	06	47	31	frozenhammerz	K9us	Oak Slab	6.0	6.0	1	world	[48, 61, -60]
2019	05	03	06	47	31	frozenhammerz	K9us	Oak Slab	6.0	6.0	1	world	[48, 61, -60]
2019	05	05	07	20	03	frozenhammerz	K9us	Oak Slab	6.0	384.0	64	world	[48, 61, -60]
2019	05	05	07	20	04	frozenhammerz	K9us	Oak Slab	6.0	384.0	64	world	[48, 61, -60]
2019	05	18	10	44	52	pepparkaksgubbe	K9us	Oak Slab	6.0	6.0	1	world	[48, 61, -60]
