year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	15	15	22	37	callietho	Shahayhay	Obsidian	62.5	500.0	8	world	[81, 66, -324]
2018	09	16	06	20	27	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	20	41	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	12	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	14	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	15	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	15	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	16	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	17	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	17	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	19	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	20	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	16	06	21	24	ersi	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	21	18	55	08	frozenhammerz	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	23	16	12	03	3thanat0r	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	23	16	12	04	3thanat0r	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	23	16	12	06	3thanat0r	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	23	16	12	07	3thanat0r	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	23	16	12	07	3thanat0r	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	23	16	12	08	3thanat0r	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	23	16	12	09	3thanat0r	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	23	16	12	10	3thanat0r	K9us	Obsidian	100.0	100.0	1	world	[60, 71, -15]
2018	09	24	05	22	36	Haksndot	K9us	Obsidian	100.0	5000.0	50	world	[60, 71, -15]
2018	09	25	22	19	39	Mr_Digs	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
2018	09	26	16	35	14	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	15	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	16	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	16	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	17	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	19	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	20	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	20	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	21	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	32	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	26	16	35	33	Mr_Digs	K9us	Obsidian	850.0	850.0	1	world	[60, 71, -16]
2018	09	28	20	06	06	pudzo	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
2018	09	28	20	06	08	pudzo	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
2018	09	28	20	06	08	pudzo	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
2018	09	28	20	06	09	pudzo	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
2018	09	28	20	06	09	pudzo	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
2018	09	28	20	06	10	pudzo	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
2018	09	28	20	06	11	pudzo	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
2018	09	28	20	06	11	pudzo	Haksndot	Obsidian	800.0	800.0	1	world_nether	[-3, 113, 4]
