year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	26	18	51	55	33_Shikamaru	Remixster	Orange Dye	50.0	100.0	2	world	[76, 70, 9]
2018	10	21	12	46	23	pudzo	Remixster	Orange Dye	50.0	150.0	3	world	[76, 70, 9]
2018	10	28	00	21	17	MiChupacabaras	Remixster	Orange Dye	12.5	100.0	8	world	[76, 70, 9]
2018	10	28	00	21	17	MiChupacabaras	Remixster	Orange Dye	12.5	100.0	8	world	[76, 70, 9]
2018	11	04	14	40	58	Captain_Handsome	sharonclaws	Orange Dye	5.0	5.0	1	world	[1, 72, 10]
2018	11	10	21	35	32	Shahayhay	sharonclaws	Orange Dye	5.0	320.0	64	world	[1, 72, 10]
2018	11	12	10	22	06	pudzo	Remixster	Orange Dye	6.25	50.0	8	world	[56, 72, 17]
2018	11	29	05	09	07	freakdown	sharonclaws	Orange Dye	5.0	5.0	1	world	[1, 72, 10]
2018	12	06	03	36	51	freakdown	sharonclaws	Orange Dye	5.0	5.0	1	world	[1, 72, 10]
2018	12	19	13	31	44	G4t1t4M1m0s4	sharonclaws	Orange Dye	5.0	320.0	64	world	[1, 72, 10]
2018	12	24	19	56	36	__Wildfire_	Remixster	Orange Dye	6.25	400.0	64	world	[56, 72, 17]
2018	12	25	21	27	39	Captain_Handsome	sharonclaws	Orange Dye	5.0	5.0	1	world	[1, 72, 10]
2019	01	27	01	16	25	AteUrC00ki35	sharonclaws	Orange Dye	5.0	320.0	64	world	[1, 72, 10]
2019	01	27	01	30	04	AteUrC00ki35	sharonclaws	Orange Dye	5.0	320.0	64	world	[1, 72, 10]
2019	01	27	01	30	05	AteUrC00ki35	sharonclaws	Orange Dye	5.0	320.0	64	world	[1, 72, 10]
2019	01	27	01	30	06	AteUrC00ki35	sharonclaws	Orange Dye	5.0	320.0	64	world	[1, 72, 10]
2019	01	27	01	30	07	AteUrC00ki35	sharonclaws	Orange Dye	5.0	320.0	64	world	[1, 72, 10]
2019	01	27	01	30	14	AteUrC00ki35	sharonclaws	Orange Dye	5.0	320.0	64	world	[1, 72, 10]
2019	02	08	00	17	30	freakdown	sharonclaws	Orange Dye	5.0	5.0	1	world	[-8, 57, 22]
2019	02	26	15	33	22	BelegStrongbow	sharonclaws	Orange Dye	5.0	320.0	64	world	[-8, 57, 22]
2019	02	26	20	03	51	ZeroGDucks	sharonclaws	Orange Dye	5.0	320.0	64	world	[-8, 57, 22]
2019	03	03	13	36	10	EnDristON	sharonclaws	Orange Dye	5.0	5.0	1	world	[-8, 57, 22]
