date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/01/31 23:55:44	nilssssss	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/01/31 23:55:44	nilssssss	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/01/31 23:55:45	nilssssss	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/01/31 23:55:46	nilssssss	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/02/17 11:24:14	EnDristON	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/02/17 11:24:15	EnDristON	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/02/17 11:24:16	EnDristON	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/02/17 11:24:16	EnDristON	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/05/03 07:33:33	frozenhammerz	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/05/03 07:33:33	frozenhammerz	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
2019/05/03 07:33:34	frozenhammerz	Aewheros	Orange Glazed Terracotta	60.0	60.0	1	world	[117, 66, -60]
