year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	21	10	57	14	AshGreninja2579	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	04	16	02	13	27	__Wildfire_	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	04	16	02	13	28	__Wildfire_	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	04	16	02	13	36	__Wildfire_	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	04	16	02	13	36	__Wildfire_	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	04	16	02	13	37	__Wildfire_	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	05	00	59	45	__Wildfire_	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	05	05	00	59	46	__Wildfire_	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	05	05	00	59	48	__Wildfire_	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	05	26	16	59	15	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	26	16	59	16	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	26	16	59	16	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	26	16	59	17	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	26	16	59	17	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	26	16	59	18	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	26	16	59	19	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	26	16	59	19	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	05	26	16	59	20	Aewheros	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	06	01	08	01	33	magemagemege	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2019	06	16	10	56	26	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	27	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	28	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	29	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	29	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	30	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	30	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	31	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	32	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	33	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	33	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	34	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	34	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	35	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	35	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	06	16	10	56	36	NiCe69	sharonclaws	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2019	10	27	15	36	02	daboogaoogaman	sharonclaws	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2020	01	18	10	34	52	Aewheros	Vallenius	Oxeye Daisy	5.0	5.0	1	world	[6, 59, 22]
2020	01	19	06	24	28	Haksndot	Vallenius	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2020	01	20	05	33	08	Haksndot	Vallenius	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2020	02	02	00	47	19	Haksndot	Vallenius	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2020	02	02	00	47	19	Haksndot	Vallenius	Oxeye Daisy	5.0	140.0	28	world	[6, 59, 22]
2020	02	07	01	12	04	Haksndot	Vallenius	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2020	02	07	01	12	18	Haksndot	Vallenius	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2020	02	07	01	12	48	Haksndot	Vallenius	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2020	02	19	16	42	23	Haksndot	Vallenius	Oxeye Daisy	5.0	320.0	64	world	[6, 59, 22]
2020	03	05	09	31	43	Minarchu	Vallenius	Oxeye Daisy	5.0	310.0	62	world	[6, 59, 22]
