date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/11 15:57:02	NullCase	Shahayhay	Packed Ice	50.0	3200.0	64	world	[72, 66, -326]
2018/09/14 20:01:35	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:38	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:39	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:41	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:43	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:44	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:45	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:47	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:48	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:49	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:49	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:50	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:52	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:56	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:56	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:57	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:57	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:58	DjungelJarl	Shahayhay	Packed Ice	50.0	500.0	10	world	[72, 66, -326]
2018/09/14 20:01:58	DjungelJarl	Shahayhay	Packed Ice	50.0	100.0	2	world	[72, 66, -326]
2018/10/09 14:56:46	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:56:47	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:56:48	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:56:48	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:56:49	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:56:53	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:56:54	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:56:55	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:57:04	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/09 14:57:05	3thanat0r	Shahayhay	Packed Ice	15.625	1000.0	64	world_the_end	[117, 57, -74]
2018/10/24 04:05:02	__Wildfire_	Shahayhay	Packed Ice	78.125	5000.0	64	world_the_end	[117, 57, -74]
2018/12/28 09:51:26	DIOSWILSON	Shahayhay	Packed Ice	78.125	5000.0	64	world_the_end	[117, 57, -74]
2019/03/24 22:22:24	coconewell92	Shahayhay	Packed Ice	85.9375	5500.0	64	world_the_end	[117, 57, -74]
2019/03/24 22:22:26	coconewell92	Shahayhay	Packed Ice	85.9375	5500.0	64	world_the_end	[117, 57, -74]
