year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	25	16	38	29	Artiist4	K9us	Paper#3w	50.0	50.0	1	world_nether	[-10, 112, 161]
2018	10	25	16	39	25	Artiist4	K9us	Paper#3w	100.0	100.0	1	world_nether	[-15, 112, 161]
2018	10	25	16	39	46	Artiist4	K9us	Paper#3w	200.0	200.0	1	world_nether	[-21, 112, 161]
2018	10	25	16	40	06	Artiist4	K9us	Paper#3w	400.0	400.0	1	world_nether	[-29, 112, 164]
2018	11	01	11	55	47	Haksndot	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2018	11	01	11	56	09	Haksndot	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
2018	11	01	11	56	28	Haksndot	K9us	Paper#3w	30.0	30.0	1	world_nether	[-21, 112, 161]
2018	11	01	11	56	43	Haksndot	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	05	16	31	24	frozenhammerz	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2018	11	05	16	32	26	frozenhammerz	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
2018	11	05	16	33	24	frozenhammerz	K9us	Paper#3w	30.0	30.0	1	world_nether	[-21, 112, 161]
2018	11	05	16	33	48	frozenhammerz	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	05	16	33	51	frozenhammerz	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	05	16	33	52	frozenhammerz	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	05	16	33	53	frozenhammerz	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	05	16	33	54	frozenhammerz	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	05	16	33	55	frozenhammerz	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	05	16	33	56	frozenhammerz	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	05	16	33	57	frozenhammerz	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	15	21	28	05	Mr_Digs	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	20	20	19	25	Phantom_Ark	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	11	20	20	19	39	Phantom_Ark	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	12	01	21	30	33	freakdown	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2018	12	01	21	30	42	freakdown	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
2018	12	01	21	30	53	freakdown	K9us	Paper#3w	30.0	30.0	1	world_nether	[-21, 112, 161]
2018	12	01	21	31	01	freakdown	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	12	18	12	50	01	Aewheros	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2018	12	18	12	50	04	Aewheros	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2019	01	29	13	05	57	monkeyboy448	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2019	01	29	13	06	22	monkeyboy448	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
2019	01	29	13	06	45	monkeyboy448	K9us	Paper#3w	30.0	30.0	1	world_nether	[-21, 112, 161]
2019	01	29	13	07	05	monkeyboy448	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2019	03	15	00	14	38	dandenoth	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2019	03	15	00	14	53	dandenoth	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2019	03	15	00	15	04	dandenoth	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
2019	03	15	00	15	14	dandenoth	K9us	Paper#3w	30.0	30.0	1	world_nether	[-21, 112, 161]
2019	03	15	00	15	22	dandenoth	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2019	03	15	00	15	29	dandenoth	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2019	05	02	12	27	57	daboogaoogaman	K9us	Paper#3w	40.0	40.0	1	world_nether	[-29, 112, 164]
2019	05	07	17	31	51	Pancen	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2019	05	07	17	32	12	Pancen	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
2019	05	07	17	32	21	Pancen	K9us	Paper#3w	30.0	30.0	1	world_nether	[-21, 112, 161]
2019	05	17	11	58	57	pepparkaksgubbe	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2019	05	17	11	59	38	pepparkaksgubbe	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
2019	06	28	14	11	49	Miljanee	K9us	Paper#3w	10.0	10.0	1	world_nether	[-10, 112, 161]
2019	06	28	14	12	09	Miljanee	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
2019	06	28	14	12	51	Miljanee	K9us	Paper#3w	30.0	30.0	1	world_nether	[-21, 112, 161]
2019	08	09	12	05	52	johsjohsjohs	K9us	Paper#3w	20.0	20.0	1	world_nether	[-15, 112, 161]
