year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	30	15	54	53	Shahayhay	steelpanmaster	Phantom Membrane	100.0	1400.0	14	world	[1095, 64, -2398]
2018	09	30	23	00	32	Dragonslair7	K9us	Phantom Membrane	100.0	100.0	1	world	[34, 70, -28]
2018	10	05	07	29	00	frozenhammerz	K9us	Phantom Membrane	100.0	100.0	1	world	[34, 70, -28]
2018	10	05	07	29	01	frozenhammerz	K9us	Phantom Membrane	100.0	100.0	1	world	[34, 70, -28]
2018	10	05	07	29	01	frozenhammerz	K9us	Phantom Membrane	100.0	100.0	1	world	[34, 70, -28]
2018	10	08	21	04	13	3thanat0r	K9us	Phantom Membrane	50.0	50.0	1	world	[34, 70, -28]
2018	10	08	21	04	14	3thanat0r	K9us	Phantom Membrane	50.0	50.0	1	world	[34, 70, -28]
2018	10	08	21	04	14	3thanat0r	K9us	Phantom Membrane	50.0	50.0	1	world	[34, 70, -28]
2018	10	14	16	25	05	Remixster	AteUrC00ki35	Phantom Membrane	25.0	25.0	1	world	[-346, 74, 82]
2018	10	20	20	12	43	frozenhammerz	K9us	Phantom Membrane	50.0	50.0	1	world	[34, 70, -28]
2018	10	20	20	12	44	frozenhammerz	K9us	Phantom Membrane	50.0	50.0	1	world	[34, 70, -28]
2018	10	20	20	12	44	frozenhammerz	K9us	Phantom Membrane	50.0	50.0	1	world	[34, 70, -28]
2018	10	20	20	12	45	frozenhammerz	K9us	Phantom Membrane	50.0	50.0	1	world	[34, 70, -28]
2018	11	03	18	27	04	pudzo	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	11	03	18	27	07	pudzo	K9us	Phantom Membrane	25.0	450.0	18	world	[34, 70, -28]
2018	11	04	19	55	28	Remixster	Captain_Handsome	Phantom Membrane	25.0	25.0	1	world	[18, 70, -41]
2018	11	04	19	55	31	Remixster	Captain_Handsome	Phantom Membrane	25.0	25.0	1	world	[18, 70, -41]
2018	11	09	12	27	22	Aewheros	Captain_Handsome	Phantom Membrane	25.0	1600.0	64	world	[18, 70, -41]
2018	11	09	14	13	15	Aewheros	Captain_Handsome	Phantom Membrane	25.0	1600.0	64	world	[18, 70, -41]
2018	11	10	07	34	26	K9us	Captain_Handsome	Phantom Membrane	25.0	25.0	1	world	[18, 70, -41]
2018	11	13	22	52	57	Mr_Digs	Combat_Biscuit	Phantom Membrane	500.0	1000.0	2	world	[-47, 66, 41]
2018	11	16	14	39	47	NorraLigan	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	11	16	14	39	50	NorraLigan	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	11	16	14	39	50	NorraLigan	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	11	16	14	39	51	NorraLigan	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	11	16	14	39	52	NorraLigan	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	11	16	14	39	52	NorraLigan	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	11	16	14	39	53	NorraLigan	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	11	17	16	54	33	Stormrunners	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	12	02	02	24	22	Remixster	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2018	12	02	02	24	24	Remixster	K9us	Phantom Membrane	25.0	25.0	1	world	[34, 70, -28]
2019	03	13	19	05	04	ezrone	EnDristON	Phantom Membrane	10.0	50.0	5	world	[265, 79, 126]
2019	03	13	19	05	05	ezrone	EnDristON	Phantom Membrane	10.0	50.0	5	world	[265, 79, 126]
2019	03	13	19	05	05	ezrone	EnDristON	Phantom Membrane	10.0	20.0	2	world	[265, 79, 126]
2019	04	08	04	35	09	dandenoth	EnDristON	Phantom Membrane	10.0	50.0	5	world	[265, 79, 126]
2019	05	31	19	20	33	AspenGamgee	Vivifoxx	Phantom Membrane	1000.0	1000.0	1	world	[311, 71, 21]
2019	05	31	19	20	36	AspenGamgee	Vivifoxx	Phantom Membrane	1000.0	1000.0	1	world	[311, 71, 21]
2019	07	12	23	55	53	kuraudosukei	Combat_Biscuit	Phantom Membrane	100.0	200.0	2	world	[-47, 66, 41]
