year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	07	10	07	26	Vrael1	Remixster	Pink Dye	50.0	400.0	8	world	[71, 70, 10]
2018	10	07	16	10	41	Vrael1	Remixster	Pink Dye	50.0	50.0	1	world	[71, 70, 10]
2018	10	28	00	20	58	MiChupacabaras	Remixster	Pink Dye	12.5	100.0	8	world	[71, 70, 10]
2018	10	28	00	21	01	MiChupacabaras	Remixster	Pink Dye	12.5	100.0	8	world	[71, 70, 10]
2018	11	10	17	12	19	Heronproject	Remixster	Pink Dye	12.5	100.0	8	world	[71, 70, 10]
2018	11	12	10	22	20	pudzo	Remixster	Pink Dye	6.25	50.0	8	world	[56, 72, 15]
2018	11	28	12	38	44	Aewheros	sharonclaws	Pink Dye	5.0	320.0	64	world	[3, 72, 12]
2018	12	06	03	36	59	freakdown	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2018	12	10	12	49	34	ArcherV0	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2018	12	10	12	49	35	ArcherV0	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2018	12	10	12	49	37	ArcherV0	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2018	12	10	12	49	40	ArcherV0	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2018	12	16	03	25	42	NorraLigan	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2018	12	24	19	56	33	__Wildfire_	Remixster	Pink Dye	6.25	306.25	49	world	[56, 72, 15]
2019	01	09	03	41	03	freakdown	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	31	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	32	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	33	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	33	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	34	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	35	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	35	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	36	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	36	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	37	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	38	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	38	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	39	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	39	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	40	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	41	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	41	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	42	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	42	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	43	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	44	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	44	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	45	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	01	21	22	18	45	ZeroGDucks	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	02	01	02	28	35	__Wildfire_	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	02	01	03	46	56	__Wildfire_	sharonclaws	Pink Dye	5.0	320.0	64	world	[3, 72, 12]
2019	02	01	21	45	12	freakdown	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	02	01	21	45	13	freakdown	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	02	01	21	45	15	freakdown	sharonclaws	Pink Dye	5.0	5.0	1	world	[3, 72, 12]
2019	02	07	02	49	01	freakdown	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	02	07	02	49	04	freakdown	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	03	01	16	16	43	magemagemege	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	03	01	16	16	45	magemagemege	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	03	02	03	39	26	Vallenius	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	03	03	09	59	45	magemagemege	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	03	03	13	35	49	EnDristON	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	03	03	15	12	30	EnDristON	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	04	13	15	40	54	magemagemege	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	04	13	15	40	55	magemagemege	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	04	22	04	02	47	dandenoth	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	04	23	01	16	21	Cardano_ff	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	04	23	01	16	22	Cardano_ff	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	04	23	01	16	22	Cardano_ff	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	05	03	07	03	45	frozenhammerz	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	05	10	21	17	20	magemagemege	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	05	10	21	17	22	magemagemege	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	06	10	14	57	47	NiCe69	sharonclaws	Pink Dye	5.0	320.0	64	world	[-14, 57, 22]
2019	06	11	19	06	53	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	54	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	55	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	55	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	56	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	56	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	57	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	58	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	58	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	59	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	06	59	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	00	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	01	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	01	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	02	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	02	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	03	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	04	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	04	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	05	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	05	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	07	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	07	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	08	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	08	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	09	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	09	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	11	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	12	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	13	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	14	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	14	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	15	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	16	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	17	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	18	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	20	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	21	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	21	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	22	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	23	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	24	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	25	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	26	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	26	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	27	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	28	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	29	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	29	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	30	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	31	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	32	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	33	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	44	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	45	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	45	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	46	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	47	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	47	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	48	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	49	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	57	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	58	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	06	11	19	07	58	Th3FerrariStig2	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	07	11	15	28	08	Dredhounds	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	07	11	15	28	08	Dredhounds	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	07	11	15	28	09	Dredhounds	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	07	11	15	28	10	Dredhounds	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	07	11	15	28	11	Dredhounds	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	07	11	15	28	12	Dredhounds	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	07	11	15	28	12	Dredhounds	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
2019	07	11	15	28	13	Dredhounds	sharonclaws	Pink Dye	5.0	5.0	1	world	[-14, 57, 22]
