year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	18	14	19	55	magemagemege	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	03	18	14	19	56	magemagemege	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	04	16	02	10	56	__Wildfire_	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	04	16	02	10	56	__Wildfire_	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	04	16	02	10	57	__Wildfire_	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	04	16	02	10	58	__Wildfire_	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	04	16	02	10	59	__Wildfire_	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	04	16	02	11	00	__Wildfire_	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	04	16	02	11	00	__Wildfire_	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	04	16	02	11	03	__Wildfire_	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	06	01	08	01	28	magemagemege	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
2019	06	01	08	02	52	magemagemege	sharonclaws	Pink Tulip	10.0	640.0	64	world	[6, 57, 22]
