year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	07	22	14	33	Haksndot	Remixster	Pink Wool	6.875294117647059	116.88	17	world	[96, 70, 45]
2018	09	30	12	37	27	MajaAstrid	Remixster	Pink Wool	6.875	55.0	8	world	[96, 70, 45]
2018	10	01	13	25	30	MajaAstrid	Remixster	Pink Wool	6.875	55.0	8	world	[96, 70, 45]
2018	11	10	17	51	10	Heronproject	Remixster	Pink Wool	6.875294117647059	116.88	17	world	[96, 70, 45]
2018	12	23	09	58	24	DIOSWILSON	WoopidyDoopidy	Pink Wool	6.25	200.0	32	world	[-53, 65, 33]
2019	01	09	15	20	08	NorraLigan	Remixster	Pink Wool	6.875	55.0	8	world	[96, 70, 45]
2019	01	31	18	21	40	EnDristON	Remixster	Pink Wool	6.875	55.0	8	world	[96, 70, 45]
2019	04	27	15	59	45	magemagemege	Remix_D_Miner	Pink Wool	6.875	440.0	64	world	[113, 69, 40]
2019	04	27	16	56	47	magemagemege	Remix_D_Miner	Pink Wool	6.875	440.0	64	world	[113, 69, 40]
2019	04	27	16	56	49	magemagemege	Remix_D_Miner	Pink Wool	6.875	440.0	64	world	[113, 69, 40]
2019	04	27	18	17	16	magemagemege	sharonclaws	Pink Wool	7.8125	500.0	64	world	[-4, 75, 11]
2019	04	27	18	17	17	magemagemege	sharonclaws	Pink Wool	7.8125	500.0	64	world	[-4, 75, 11]
2019	04	27	18	17	18	magemagemege	sharonclaws	Pink Wool	7.8125	500.0	64	world	[-4, 75, 11]
2019	04	27	18	17	19	magemagemege	sharonclaws	Pink Wool	7.8125	500.0	64	world	[-4, 75, 11]
2019	04	27	18	17	31	magemagemege	sharonclaws	Pink Wool	7.8125	500.0	64	world	[-4, 75, 11]
2019	04	27	18	17	33	magemagemege	sharonclaws	Pink Wool	7.8125	500.0	64	world	[-4, 75, 11]
2019	05	12	18	50	44	magemagemege	Remix_D_Miner	Pink Wool	6.875185185185185	185.63	27	world	[113, 69, 40]
2019	06	11	14	19	45	NiCe69	Remix_D_Miner	Pink Wool	6.875	440.0	64	world	[113, 69, 40]
2019	06	11	14	19	47	NiCe69	Remix_D_Miner	Pink Wool	6.876666666666666	20.63	3	world	[113, 69, 40]
2019	07	14	12	21	05	jackcam6	EnDristON	Pink Wool	20.0	1280.0	64	world	[-343, 67, -453]
2019	07	18	16	09	40	Impression28	EnDristON	Pink Wool	20.0	20.0	1	world	[-343, 67, -453]
2019	07	18	16	09	48	Impression28	EnDristON	Pink Wool	20.0	20.0	1	world	[-343, 67, -453]
2019	07	18	16	09	50	Impression28	EnDristON	Pink Wool	20.0	20.0	1	world	[-343, 67, -453]
2019	08	19	21	57	51	TheNormalToast	Remix_D_Miner	Pink Wool	6.875	55.0	8	world	[113, 69, 40]
2019	09	03	21	07	13	AC391694	Remix_D_Miner	Pink Wool	6.875	55.0	8	world	[113, 69, 40]
2019	09	03	21	07	14	AC391694	Remix_D_Miner	Pink Wool	6.875	55.0	8	world	[113, 69, 40]
2019	11	04	13	16	18	Miljanee	Remix_D_Miner	Pink Wool	0.9375	15.0	16	world	[113, 69, 40]
