year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	12	05	18	17	freakdown	K9us	Piston	48.0	192.0	4	world	[-1875, 18, 1608]
2019	04	05	19	27	39	daboogaoogaman	K9us	Piston	48.0	48.0	1	world	[-1875, 18, 1608]
2019	04	05	19	27	40	daboogaoogaman	K9us	Piston	48.0	48.0	1	world	[-1875, 18, 1608]
2019	06	12	20	53	01	daboogaoogaman	K9us	Piston	48.0	96.0	2	world	[-1875, 18, 1608]
2020	03	15	14	46	02	hyperdramallama	Minarchu	Piston	200.0	200.0	1	world	[393, 79, 139]
2020	03	15	14	46	03	hyperdramallama	Minarchu	Piston	200.0	200.0	1	world	[393, 79, 139]
2020	03	15	14	46	04	hyperdramallama	Minarchu	Piston	200.0	200.0	1	world	[393, 79, 139]
2020	03	15	14	46	05	hyperdramallama	Minarchu	Piston	200.0	200.0	1	world	[393, 79, 139]
2020	03	15	14	46	06	hyperdramallama	Minarchu	Piston	200.0	200.0	1	world	[393, 79, 139]
2020	03	16	11	08	16	hyperdramallama	Minarchu	Piston	200.0	200.0	1	world	[393, 79, 139]
2020	03	16	11	08	18	hyperdramallama	Minarchu	Piston	200.0	200.0	1	world	[393, 79, 139]
2020	03	16	13	51	13	solson744	Minarchu	Piston	200.0	200.0	1	world	[393, 79, 139]
