date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/14 11:50:35	Shahayhay	K9us	Polished Diorite	7.7	492.8	64	world	[52, 71, -22]
2018/09/22 19:23:01	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:02	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:02	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:03	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:03	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:04	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:04	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:05	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:07	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:07	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:08	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:09	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:09	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:10	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:11	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:11	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:12	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:13	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:14	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:15	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:16	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:16	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:17	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:17	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:18	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:19	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:19	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:42	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:43	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:44	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:45	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:23:48	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:20	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:20	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:21	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:22	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:23	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:24	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:24	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:25	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
2018/09/22 19:25:25	__Wildfire_	K9us	Polished Diorite	1.5625	100.0	64	world	[52, 71, -22]
