year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	02	04	46	25	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	46	26	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	46	27	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	46	27	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	47	27	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	47	28	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	47	29	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	47	29	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	47	30	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	47	34	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	47	35	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	02	04	47	36	frozenhammerz	__Wildfire_	Poppy	0.3907142857142857	21.88	56	world	[144, 63, 229]
2018	10	04	11	09	54	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	09	54	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	09	55	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	09	56	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	09	56	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	09	57	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	09	58	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	09	59	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	09	59	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	00	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	01	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	02	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	02	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	03	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	14	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	15	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	16	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	16	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	17	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	18	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	18	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	19	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	19	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	20	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	21	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	21	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	22	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	23	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	23	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	32	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	33	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	34	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	34	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	35	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	35	frozenhammerz	__Wildfire_	Poppy	0.390625	25.0	64	world	[144, 63, 229]
2018	10	04	11	10	36	frozenhammerz	__Wildfire_	Poppy	0.39066666666666666	23.44	60	world	[144, 63, 229]
