year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	01	09	11	32	Heronproject	Remixster	Potato	5.0	40.0	8	world	[52, 70, 12]
2018	09	02	17	47	58	3thanat0r	Remixster	Potato	5.0	80.0	16	world	[52, 70, 12]
2018	09	04	09	02	41	spfoia	Remixster	Potato	5.0	40.0	8	world	[52, 70, 12]
2018	09	04	09	02	42	spfoia	Remixster	Potato	5.0	40.0	8	world	[52, 70, 12]
2018	09	04	09	02	43	spfoia	Remixster	Potato	5.0	40.0	8	world	[52, 70, 12]
2018	09	04	09	02	44	spfoia	Remixster	Potato	5.0	40.0	8	world	[52, 70, 12]
2018	09	04	09	02	44	spfoia	Remixster	Potato	5.0	15.0	3	world	[52, 70, 12]
2018	09	04	09	04	42	spfoia	Combat_Biscuit	Potato	1.0	32.0	32	world	[-48, 67, 41]
2018	09	04	09	04	43	spfoia	Combat_Biscuit	Potato	1.0	32.0	32	world	[-48, 67, 41]
2018	09	05	23	02	24	__Wildfire_	Remixster	Potato	5.0	10.0	2	world	[52, 70, 12]
2018	09	07	01	01	52	sharonclaws	LightsChaos	Potato	4.0625	130.0	32	world	[26, 69, 38]
2018	09	07	01	01	53	sharonclaws	LightsChaos	Potato	4.0625	130.0	32	world	[26, 69, 38]
2018	09	07	01	01	54	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	01	01	55	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	01	01	56	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	01	01	56	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	01	01	57	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	01	01	58	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	01	01	59	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	01	01	59	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	01	02	23	sharonclaws	LightsChaos	Potato	4.0625	260.0	64	world	[26, 69, 38]
2018	09	07	18	00	59	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	07	18	01	00	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	07	18	01	01	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	07	18	01	01	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	07	18	01	02	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	08	00	54	12	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	08	00	54	12	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	08	00	54	13	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	08	00	54	22	sharonclaws	LightsChaos	Potato	4.6875	300.0	64	world	[26, 69, 39]
2018	09	08	12	58	19	spfoia	LightsChaos	Potato	4.6875	150.0	32	world	[26, 69, 39]
2018	09	10	06	10	24	ersi	LightsChaos	Potato	4.6875	150.0	32	world	[29, 75, 39]
2018	09	10	06	10	26	ersi	LightsChaos	Potato	4.6875	150.0	32	world	[29, 75, 39]
2018	09	10	06	12	16	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	17	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	18	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	18	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	19	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	20	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	21	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	21	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	22	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	12	23	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	13	41	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	13	42	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	13	43	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	13	46	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	13	47	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
2018	09	10	06	13	48	ersi	LightsChaos	Potato	4.6875	300.0	64	world	[29, 75, 39]
