date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/30 09:13:52	Cardano_ff	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/10/31 11:24:20	G4t1t4M1m0s4	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/09 13:16:04	Aewheros	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/09 13:16:05	Aewheros	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/09 13:16:06	Aewheros	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/09 13:16:07	Aewheros	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/09 13:16:07	Aewheros	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/12 00:31:39	__Wildfire_	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/16 14:25:38	NorraLigan	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/21 07:05:20	3thanat0r	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/25 14:15:47	TheEzieDawg	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/11/27 23:53:44	TheEzieDawg	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/12/03 00:18:31	Phantom_Ark	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/12/22 18:48:09	G4t1t4M1m0s4	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/12/24 13:19:37	G4t1t4M1m0s4	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/12/26 18:32:36	G4t1t4M1m0s4	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/12/29 13:00:39	NorraLigan	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2018/12/29 13:07:17	FatherTime__	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2019/01/03 12:53:24	FatherTime__	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2019/01/03 12:53:25	FatherTime__	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2019/02/15 12:03:38	Miljanee	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2019/02/19 14:04:34	BelegStrongbow	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2019/03/16 23:07:11	ZeroGDucks	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
2019/03/23 16:36:46	FatherTime__	sharonclaws	Potion#3V	500.0	500.0	1	world	[-3, 129, 15]
