year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	26	21	26	46	Remixster	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	11	26	21	26	48	Remixster	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	11	26	21	26	48	Remixster	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	11	26	21	26	50	Remixster	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	01	18	55	19	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	01	18	55	20	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	01	18	55	20	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	01	18	55	21	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	01	18	55	25	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	04	23	38	02	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	04	23	38	02	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	04	23	38	04	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	07	01	12	24	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	07	01	12	25	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	07	01	12	26	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	07	01	12	26	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	07	01	12	27	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	07	01	12	30	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	09	06	04	12	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2018	12	29	05	13	56	NullCase	pudzo	Potion#5c	500.0	500.0	1	world	[27, 69, 27]
2019	01	06	13	36	22	NorraLigan	pudzo	Potion#5c	500.0	500.0	1	world	[27, 69, 27]
2019	01	07	22	31	24	freakdown	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2019	01	12	21	10	00	__Wildfire_	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2019	01	12	21	10	01	__Wildfire_	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2019	02	08	01	16	01	__Wildfire_	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2019	02	21	13	37	01	Aewheros	pudzo	Potion#5c	500.0	500.0	1	world	[27, 69, 27]
2019	02	21	23	24	51	freakdown	pudzo	Potion#5c	500.0	500.0	1	world	[27, 69, 27]
2019	03	12	01	54	54	__Wildfire_	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2019	04	07	17	07	07	__Wildfire_	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
2019	04	07	17	07	08	__Wildfire_	pudzo	Potion#5c	500.0	500.0	1	world_nether	[248, 113, 10]
