year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	06	02	14	26	52	Vivifoxx	Downhilldriver	Potion#8Z	100.0	100.0	1	world	[433, 79, 137]
2019	08	11	23	14	46	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
2019	08	11	23	14	47	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
2019	08	11	23	14	47	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
2019	08	11	23	14	48	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
2019	08	11	23	14	48	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
2019	08	11	23	14	49	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
2019	08	11	23	14	50	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
2019	08	11	23	14	50	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
2019	08	11	23	14	51	ezrone	coconewell92	Potion#8Z	500.0	500.0	1	world	[255, 79, 166]
