year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	21	16	39	32	K9us	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	02	21	16	56	17	magemagemege	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	03	12	18	26	11	FatherTime__	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	03	23	00	16	49	ezrone	coconewell92	Potion#8i	1000.0	1000.0	1	world	[263, 79, 166]
2019	03	24	23	09	44	ezrone	coconewell92	Potion#8i	1000.0	1000.0	1	world	[263, 79, 166]
2019	03	24	23	24	40	ezrone	coconewell92	Potion#8i	1000.0	1000.0	1	world	[263, 79, 166]
2019	03	24	23	24	41	ezrone	coconewell92	Potion#8i	1000.0	1000.0	1	world	[263, 79, 166]
2019	03	24	23	24	41	ezrone	coconewell92	Potion#8i	1000.0	1000.0	1	world	[263, 79, 166]
2019	03	24	23	24	42	ezrone	coconewell92	Potion#8i	1000.0	1000.0	1	world	[263, 79, 166]
2019	03	24	23	24	43	ezrone	coconewell92	Potion#8i	1000.0	1000.0	1	world	[263, 79, 166]
2019	03	24	23	24	43	ezrone	coconewell92	Potion#8i	1000.0	1000.0	1	world	[263, 79, 166]
2019	04	28	22	35	27	AshGreninja2579	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	04	29	05	08	57	K9us	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	04	29	05	08	58	K9us	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	04	29	05	08	59	K9us	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	04	29	05	09	00	K9us	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	04	29	05	09	00	K9us	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
2019	04	29	05	09	01	K9us	Stormrunners	Potion#8i	400.0	400.0	1	world	[55, 71, -22]
