year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	07	31	22	18	41	jackcam6	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2019	07	31	22	18	42	jackcam6	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2019	07	31	22	18	43	jackcam6	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2019	07	31	22	18	43	jackcam6	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2019	07	31	22	18	46	jackcam6	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2019	08	16	17	01	31	Miljanee	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2019	08	16	17	01	34	Miljanee	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2019	08	16	17	01	35	Miljanee	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2020	01	11	23	07	34	jtl0350	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2020	03	13	17	04	51	VeillofSorrow	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2020	03	13	17	04	53	VeillofSorrow	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2020	03	13	17	05	00	VeillofSorrow	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2020	03	13	17	05	01	VeillofSorrow	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2020	03	13	17	05	02	VeillofSorrow	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
2020	03	13	17	05	02	VeillofSorrow	sparkXstorm	Potion#98	34.99	34.99	1	world	[401, 79, 96]
