year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	08	13	05	14	HandyEric3	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	09	08	13	05	15	HandyEric3	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	09	13	15	50	28	Stormrunners	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	09	29	22	31	13	Shahayhay	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	17	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	20	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	21	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	21	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	22	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	22	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	23	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	23	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	16	25	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	28	37	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	28	38	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	28	38	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	28	39	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	28	39	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	02	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	03	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	03	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	04	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	04	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	05	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	06	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	06	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	07	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	07	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2018	10	21	15	29	42	PizzaJon	K9us	Potion#t	1.0	1.0	1	world	[61, 70, -21]
2019	05	31	18	53	02	K9us	Phantom_Ark	Potion#t	7.0	7.0	1	world	[-178, 64, 330]
2019	05	31	18	53	19	K9us	Phantom_Ark	Potion#t	7.0	7.0	1	world	[-178, 64, 330]
2019	05	31	18	53	21	K9us	Phantom_Ark	Potion#t	7.0	7.0	1	world	[-178, 64, 330]
2020	02	15	11	39	41	daboogaoogaman	Remix_D_Miner	Potion#t	1.5	15.0	10	world	[93, 72, 15]
2020	02	16	06	02	08	EnDristON	Remix_D_Miner	Potion#t	5.0	5.0	1	world	[89, 79, 26]
