date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/03/03 23:51:58	Remixster	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:27:55	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:27:56	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:27:58	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:27:58	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:27:59	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:27:59	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:00	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:01	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:01	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:02	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:03	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:03	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:04	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:05	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/04/05 19:28:05	daboogaoogaman	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/05/03 06:28:06	frozenhammerz	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/05/03 06:28:06	frozenhammerz	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/05/03 06:28:07	frozenhammerz	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/07/03 13:01:46	Oaken_Ralph	K9us	Powered Rail	38.0	38.0	1	world	[-1880, 18, 1601]
2019/07/03 13:01:50	Oaken_Ralph	K9us	Powered Rail	38.0	2432.0	64	world	[-1880, 18, 1601]
2019/07/03 13:01:53	Oaken_Ralph	K9us	Powered Rail	38.0	950.0	25	world	[-1880, 18, 1601]
