year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	14	10	53	46	Remixster	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	05	20	20	15	pudzo	frozenhammerz	Prismarine Shard	25.0	25.0	1	world	[-2752, 25, 1823]
2018	11	05	20	20	19	pudzo	frozenhammerz	Prismarine Shard	25.0	1600.0	64	world	[-2752, 25, 1823]
2018	11	05	20	20	22	pudzo	frozenhammerz	Prismarine Shard	25.0	1600.0	64	world	[-2752, 25, 1823]
2018	11	05	20	20	23	pudzo	frozenhammerz	Prismarine Shard	25.0	25.0	1	world	[-2752, 25, 1823]
2018	11	05	20	20	26	pudzo	frozenhammerz	Prismarine Shard	25.0	700.0	28	world	[-2752, 25, 1823]
2018	11	06	23	49	50	pudzo	frozenhammerz	Prismarine Shard	25.0	1600.0	64	world	[-2752, 25, 1823]
2018	11	06	23	49	51	pudzo	frozenhammerz	Prismarine Shard	25.0	1600.0	64	world	[-2752, 25, 1823]
2018	11	07	19	44	55	pudzo	K9us	Prismarine Shard	10.0	640.0	64	world	[-2752, 25, 1823]
2018	11	07	21	34	47	pudzo	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	07	21	34	48	pudzo	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	07	21	34	53	pudzo	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	07	21	35	00	pudzo	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	07	21	35	25	pudzo	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	07	21	35	28	pudzo	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	07	21	35	28	pudzo	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	07	21	35	29	pudzo	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	27	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	28	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	29	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	29	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	30	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	31	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	31	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	32	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	57	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	58	Mr_Digs	Cardano_ff	Prismarine Shard	1.0	64.0	64	world	[-2507, 23, 2815]
2018	11	28	00	55	58	Mr_Digs	sharonclaws	Prismarine Shard	1.0	64.0	64	world	[-2506, 23, 2815]
