year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	06	03	32	08	K9us	fiddleswithstick	Pufferfish	4.0	4.0	1	world	[162, 63, -94]
2018	09	06	03	32	08	K9us	fiddleswithstick	Pufferfish	4.0	4.0	1	world	[162, 63, -94]
2018	09	08	13	04	54	HandyEric3	fiddleswithstick	Pufferfish	8.0	8.0	1	world	[40, 71, -24]
2018	09	08	13	04	57	HandyEric3	fiddleswithstick	Pufferfish	8.0	8.0	1	world	[40, 71, -24]
2018	10	13	19	28	28	PizzaJon	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	13	19	28	32	PizzaJon	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	13	19	28	33	PizzaJon	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	13	20	35	17	PizzaJon	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	13	20	35	18	PizzaJon	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	13	20	35	19	PizzaJon	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	21	15	36	32	Dragonslair7	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	28	21	59	37	Shahayhay	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	28	21	59	38	Shahayhay	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	28	21	59	39	Shahayhay	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	28	21	59	39	Shahayhay	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	28	21	59	40	Shahayhay	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	28	21	59	40	Shahayhay	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	10	28	21	59	42	Shahayhay	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	14	26	18	Rille3000	K9us	Pufferfish	0.015625	1.0	64	world	[40, 71, -24]
2018	11	12	18	12	05	Haksndot	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	18	17	32	Haksndot	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	18	17	34	Haksndot	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	18	17	34	Haksndot	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	18	17	35	Haksndot	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	18	17	36	Haksndot	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	18	17	36	Haksndot	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	18	17	37	Haksndot	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	11	12	18	17	38	Haksndot	sharonclaws	Pufferfish	0.015714285714285715	0.33	21	world	[7, 72, 13]
2018	11	16	16	30	39	Stormrunners	fiddleswithstick	Pufferfish	1.0	1.0	1	world	[162, 63, -94]
2018	11	21	00	05	32	Phantom_Ark	K9us	Pufferfish	0.015625	1.0	64	world	[40, 71, -24]
2018	11	30	00	05	19	freakdown	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2018	12	01	21	13	12	freakdown	Remixster	Pufferfish	1.5625	50.0	32	world	[80, 71, 20]
2019	01	31	14	21	27	GRlFFlN	fiddleswithstick	Pufferfish	1.0	1.0	1	world	[162, 63, -94]
2019	02	02	14	35	39	nilssssss	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2019	02	02	14	35	41	nilssssss	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2019	03	29	00	38	23	coconewell92	Remix_D_Miner	Pufferfish	1.5625	100.0	64	world	[80, 71, 20]
2019	03	29	00	38	24	coconewell92	Remix_D_Miner	Pufferfish	1.5625	100.0	64	world	[80, 71, 20]
2019	03	29	00	38	25	coconewell92	Remix_D_Miner	Pufferfish	1.5625	100.0	64	world	[80, 71, 20]
2019	03	29	00	38	25	coconewell92	Remix_D_Miner	Pufferfish	1.5625	100.0	64	world	[80, 71, 20]
2019	03	29	00	38	27	coconewell92	Remix_D_Miner	Pufferfish	1.5625	100.0	64	world	[80, 71, 20]
2019	03	29	00	38	28	coconewell92	Remix_D_Miner	Pufferfish	1.5625	100.0	64	world	[80, 71, 20]
2019	03	29	00	38	29	coconewell92	Remix_D_Miner	Pufferfish	1.5625	100.0	64	world	[80, 71, 20]
2019	03	29	00	38	30	coconewell92	Remix_D_Miner	Pufferfish	1.5625	100.0	64	world	[80, 71, 20]
2019	05	20	12	27	45	Downhilldriver	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
2019	06	12	16	08	23	NiCe69	Remix_D_Miner	Pufferfish	2.34375	150.0	64	world	[62, 74, 14]
2019	06	13	14	01	44	NiCe69	Remix_D_Miner	Pufferfish	2.34375	150.0	64	world	[62, 74, 14]
2019	06	13	14	01	44	NiCe69	Remix_D_Miner	Pufferfish	2.34375	150.0	64	world	[62, 74, 14]
2019	06	13	14	01	45	NiCe69	Remix_D_Miner	Pufferfish	2.34375	150.0	64	world	[62, 74, 14]
2019	06	15	11	16	19	NiCe69	Remix_D_Miner	Pufferfish	2.34375	150.0	64	world	[62, 74, 14]
2019	06	15	11	16	20	NiCe69	Remix_D_Miner	Pufferfish	2.34375	150.0	64	world	[62, 74, 14]
2019	07	07	22	29	16	kuraudosukei	Remix_D_Miner	Pufferfish	2.34375	150.0	64	world	[62, 74, 14]
2019	07	07	22	29	17	kuraudosukei	Remix_D_Miner	Pufferfish	2.34375	150.0	64	world	[62, 74, 14]
2019	07	09	05	22	12	BrickTheBuilder	sharonclaws	Pufferfish	0.015625	1.0	64	world	[7, 72, 13]
