date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/04 21:58:50	Shahayhay	Srood	Pumpkin Pie	1.5625	50.0	32	world	[38, 72, -143]
2018/09/05 16:02:14	MyNameIsTree	Srood	Pumpkin Pie	0.9375	60.0	64	world	[38, 72, -143]
2018/09/05 18:23:08	Shahayhay	Srood	Pumpkin Pie	0.9375	30.0	32	world	[38, 72, -143]
2018/09/06 15:52:49	MyNameIsTree	Srood	Pumpkin Pie	0.9375	60.0	64	world	[38, 72, -143]
2018/09/07 16:57:10	Shahayhay	Srood	Pumpkin Pie	0.9375	60.0	64	world	[38, 72, -143]
2018/09/07 17:56:55	MyNameIsTree	Srood	Pumpkin Pie	0.9375	60.0	64	world	[38, 72, -143]
2018/09/07 19:26:26	Shahayhay	Srood	Pumpkin Pie	0.9375	60.0	64	world	[38, 72, -143]
2018/09/08 22:37:47	MyNameIsTree	Srood	Pumpkin Pie	0.9375	60.0	64	world	[38, 72, -143]
2018/09/29 01:11:31	Dragonslair7	AteUrC00ki35	Pumpkin Pie	10.0	10.0	1	world	[-350, 70, 83]
2018/11/10 13:46:23	TechnoWiking	AteUrC00ki35	Pumpkin Pie	50.0	50.0	1	world	[-348, 70, 83]
2019/03/27 15:02:17	EnDristON	Stormrunners	Pumpkin Pie	3.14	3.14	1	world	[-344, 77, -473]
2019/07/09 05:59:06	NullCase	Vivifoxx	Pumpkin Pie	32.0	288.0	9	world	[313, 72, 27]
