year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	12	15	18	23	TheScrubJay	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	10	13	19	33	15	Haksndot	sharonclaws	Purple Dye	5.0	235.0	47	world	[-7, 73, 10]
2018	10	18	18	44	27	Shahayhay	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	10	18	18	44	28	Shahayhay	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	10	18	18	44	29	Shahayhay	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	11	03	22	10	22	Captain_Handsome	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	11	10	17	12	21	Heronproject	Remixster	Purple Dye	12.5	12.5	1	world	[74, 70, 9]
2018	11	23	18	52	30	Aewheros	sharonclaws	Purple Dye	5.0	320.0	64	world	[-7, 73, 10]
2018	11	28	12	39	12	Aewheros	sharonclaws	Purple Dye	5.0	320.0	64	world	[-7, 73, 10]
2018	12	05	15	45	49	TheScrubJay	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	12	05	15	45	50	TheScrubJay	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	12	05	15	45	51	TheScrubJay	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	12	06	03	36	49	freakdown	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	12	10	19	50	03	AshGreninja2579	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	12	10	19	50	04	AshGreninja2579	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
2018	12	10	19	50	05	AshGreninja2579	sharonclaws	Purple Dye	5.0	5.0	1	world	[-7, 73, 10]
