year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	30	06	34	55	MajaAstrid	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	09	30	09	14	56	MajaAstrid	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	09	30	09	14	59	MajaAstrid	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	09	30	20	29	10	AteUrC00ki35	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	09	30	20	29	11	AteUrC00ki35	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	09	30	20	29	12	AteUrC00ki35	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	09	30	20	29	13	AteUrC00ki35	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	10	13	22	28	33	Haksndot	Remixster	Purple Wool	6.875	440.0	64	world	[107, 69, 33]
2018	11	13	14	50	11	Rille3000	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	11	15	16	32	16	Rille3000	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2018	12	04	20	01	32	G4t1t4M1m0s4	Remixster	Purple Wool	6.875	440.0	64	world	[107, 69, 33]
2018	12	04	20	01	35	G4t1t4M1m0s4	Remixster	Purple Wool	6.875	440.0	64	world	[107, 69, 33]
2018	12	04	20	01	37	G4t1t4M1m0s4	Remixster	Purple Wool	6.875	13.75	2	world	[107, 69, 33]
2018	12	24	12	38	38	G4t1t4M1m0s4	Remixster	Purple Wool	6.876	34.38	5	world	[107, 69, 33]
2019	02	23	16	52	37	magemagemege	Remixster	Purple Wool	6.875	55.0	8	world	[107, 69, 33]
2019	04	27	15	59	44	magemagemege	Remix_D_Miner	Purple Wool	6.875	440.0	64	world	[111, 69, 40]
2019	04	27	16	56	52	magemagemege	Remix_D_Miner	Purple Wool	6.875	440.0	64	world	[111, 69, 40]
2019	04	27	16	56	53	magemagemege	Remix_D_Miner	Purple Wool	6.875	261.25	38	world	[111, 69, 40]
2019	04	27	18	17	21	magemagemege	sharonclaws	Purple Wool	7.8125	500.0	64	world	[-2, 75, 11]
2019	04	27	18	17	21	magemagemege	sharonclaws	Purple Wool	7.8125	500.0	64	world	[-2, 75, 11]
2019	04	27	18	17	22	magemagemege	sharonclaws	Purple Wool	7.8125	500.0	64	world	[-2, 75, 11]
2019	04	27	18	17	22	magemagemege	sharonclaws	Purple Wool	7.8125	500.0	64	world	[-2, 75, 11]
2019	04	27	18	17	29	magemagemege	sharonclaws	Purple Wool	7.8125	500.0	64	world	[-2, 75, 11]
2019	04	27	18	17	30	magemagemege	sharonclaws	Purple Wool	7.8125	500.0	64	world	[-2, 75, 11]
2019	05	05	22	24	31	dandenoth	sharonclaws	Purple Wool	7.8125	500.0	64	world	[-2, 75, 11]
2019	05	05	22	24	32	dandenoth	sharonclaws	Purple Wool	7.8125	500.0	64	world	[-2, 75, 11]
2019	06	15	15	59	35	NiCe69	Remix_D_Miner	Purple Wool	6.875	55.0	8	world	[111, 69, 40]
2019	06	15	15	59	37	NiCe69	Remix_D_Miner	Purple Wool	6.875	55.0	8	world	[111, 69, 40]
2019	06	15	15	59	37	NiCe69	Remix_D_Miner	Purple Wool	6.875128205128205	268.13	39	world	[111, 69, 40]
2019	07	14	12	21	04	jackcam6	EnDristON	Purple Wool	20.0	1280.0	64	world	[-343, 67, -451]
