year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	01	18	56	20	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	23	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	24	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	25	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	25	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	26	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	27	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	27	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	28	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	29	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	30	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	30	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	31	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	31	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	32	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	32	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	33	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	34	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	34	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
2018	12	01	18	56	35	Remixster	K9us	Purpur Block	7.0	7.0	1	world	[80, 67, -17]
