year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	31	16	27	15	FatherTime__	K9us	Quartz Block	625.0	35000.0	56	world	[-1857, 18, 1572]
2019	04	10	22	48	20	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	10	22	48	23	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	10	22	48	24	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	10	22	48	25	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	10	22	48	25	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	10	22	48	26	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	13	05	29	58	dandenoth	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	13	18	24	09	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	13	18	24	10	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	13	18	24	11	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	13	18	24	12	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	13	18	24	38	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	04	13	18	24	38	daboogaoogaman	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	05	01	20	09	30	frozenhammerz	K9us	Quartz Block	625.0	40000.0	64	world	[-1857, 18, 1572]
2019	05	01	20	09	31	frozenhammerz	K9us	Quartz Block	625.0	40000.0	64	world	[-1857, 18, 1572]
2019	05	01	20	09	38	frozenhammerz	K9us	Quartz Block	625.0	40000.0	64	world	[-1857, 18, 1572]
2019	05	01	20	09	39	frozenhammerz	K9us	Quartz Block	625.0	40000.0	64	world	[-1857, 18, 1572]
2019	05	01	20	09	40	frozenhammerz	K9us	Quartz Block	625.0	40000.0	64	world	[-1857, 18, 1572]
2019	05	01	20	09	45	frozenhammerz	K9us	Quartz Block	625.0	40000.0	64	world	[-1857, 18, 1572]
2019	05	01	20	09	46	frozenhammerz	K9us	Quartz Block	625.0	40000.0	64	world	[-1857, 18, 1572]
2019	05	01	20	09	46	frozenhammerz	K9us	Quartz Block	625.0	29375.0	47	world	[-1857, 18, 1572]
2019	06	12	12	59	01	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	04	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	05	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	06	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	06	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	07	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	08	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	08	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	09	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	10	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	10	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	11	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	12	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	12	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	13	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	14	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	15	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	16	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	17	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
2019	06	12	12	59	18	NiCe69	K9us	Quartz Block	625.0	625.0	1	world	[-1857, 18, 1572]
