year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	06	22	04	05	Haksndot	Shahayhay	Quartz	2.0	128.0	64	world	[74, 66, -322]
2018	09	06	22	04	06	Haksndot	Shahayhay	Quartz	2.0	128.0	64	world	[74, 66, -322]
2018	09	06	22	04	06	Haksndot	Shahayhay	Quartz	2.0	42.0	21	world	[74, 66, -322]
2018	09	08	12	11	22	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	08	12	11	23	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	08	12	11	25	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	08	12	11	26	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	08	12	11	26	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	08	12	11	27	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	08	12	11	28	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	08	12	11	28	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	08	12	11	29	frozenhammerz	Baskerboss	Quartz	156.25	1093.75	7	world	[31, 69, -28]
2018	09	11	15	56	48	NullCase	Shahayhay	Quartz	2.0	100.0	50	world	[74, 66, -322]
2018	09	12	06	20	14	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	15	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	16	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	16	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	17	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	17	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	18	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	19	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	20	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	30	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	30	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	06	20	31	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	12	14	15	44	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	12	14	15	46	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	19	05	31	29	K9us	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	19	05	31	29	K9us	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	19	05	31	30	K9us	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	19	05	31	30	K9us	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	19	05	31	31	K9us	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	19	05	31	31	K9us	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	10	16	37	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	10	17	10	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	10	21	19	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	10	27	28	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	21	10	27	29	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	21	10	27	30	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	21	10	27	31	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	21	11	28	07	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	11	28	08	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	11	28	14	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	11	28	16	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	11	28	25	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	11	28	30	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	21	11	28	31	frozenhammerz	Baskerboss	Quartz	156.25	7500.0	48	world	[31, 69, -28]
2018	09	21	11	28	36	frozenhammerz	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	21	11	28	37	frozenhammerz	Baskerboss	Quartz	156.25	7500.0	48	world	[31, 69, -28]
2018	09	21	11	28	41	frozenhammerz	Baskerboss	Quartz	156.25	10000.0	64	world	[31, 69, -28]
2018	09	21	18	16	03	Puttricks	Baskerboss	Quartz	156.25	2500.0	16	world	[31, 69, -28]
2018	09	21	23	31	07	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	31	19	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	31	19	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	31	20	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	02	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	02	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	03	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	07	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	21	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	21	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	22	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	23	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	46	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	47	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	48	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	34	48	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	00	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	01	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	02	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	02	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	03	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	03	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	04	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	04	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	05	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	09	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	10	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	11	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	12	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	13	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	21	23	35	13	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	09	22	10	43	17	K9us	Baskerboss	Quartz	93.75	1500.0	16	world	[32, 70, -28]
2018	09	23	09	57	55	K9us	Baskerboss	Quartz	93.75	1500.0	16	world	[32, 70, -28]
2018	09	23	15	38	56	Puttricks	Baskerboss	Quartz	93.75	1500.0	16	world	[32, 70, -28]
2018	09	23	15	39	04	Puttricks	Baskerboss	Quartz	93.75	1500.0	16	world	[32, 70, -28]
2018	09	23	15	39	13	Puttricks	Baskerboss	Quartz	93.75	1500.0	16	world	[32, 70, -28]
2018	09	23	15	39	13	Puttricks	Baskerboss	Quartz	93.75	1500.0	16	world	[32, 70, -28]
2018	10	02	15	37	25	Vrael1	Haksndot	Quartz	250.0	16000.0	64	world_nether	[-5, 113, -30]
2018	10	02	15	37	26	Vrael1	Haksndot	Quartz	250.0	16000.0	64	world_nether	[-5, 113, -30]
2018	10	02	15	38	53	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	10	02	15	38	54	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
2018	10	02	15	38	55	Haksndot	Baskerboss	Quartz	93.75	6000.0	64	world	[32, 70, -28]
