date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/02/12 10:40:06	K9us	Stormrunners	Rail	3.125	50.0	16	world	[55, 73, -22]
2019/03/16 13:19:09	ezrone	EnDristON	Rail	5.555555555555555	50.0	9	world	[265, 79, 126]
2019/04/05 19:28:08	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:09	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:10	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:10	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:11	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:11	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:12	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:13	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:13	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:14	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:15	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:15	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:16	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:17	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:18	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:19	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:20	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:21	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:21	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:22	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:23	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
2019/04/05 19:28:24	daboogaoogaman	K9us	Rail	2.5	2.5	1	world	[-1880, 18, 1605]
