year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	12	26	16	07	05	Vivifoxx	Vallenius	Red Dye	5.0	5.0	1	world	[-8, 58, 22]
2020	01	11	10	12	27	jtl0350	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
2020	03	10	16	26	00	Minarchu	Vallenius	Red Dye	5.0	5.0	1	world	[-8, 58, 22]
2020	03	12	15	48	02	VeillofSorrow	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
2020	03	12	16	09	48	VeillofSorrow	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
2020	03	12	18	00	32	VeillofSorrow	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
2020	03	12	18	00	34	VeillofSorrow	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
2020	03	12	18	06	03	VeillofSorrow	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
2020	03	12	18	06	04	VeillofSorrow	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
2020	03	12	18	06	04	VeillofSorrow	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
2020	03	12	18	06	06	VeillofSorrow	Vallenius	Red Dye	5.0	320.0	64	world	[-8, 58, 22]
