year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	29	02	32	05	MajaAstrid	Remixster	Red Glazed Terracotta	150.0	900.0	6	world	[56, 71, 12]
2018	11	10	17	10	23	Heronproject	Remixster	Red Glazed Terracotta	150.0	750.0	5	world	[56, 71, 12]
2019	01	31	23	55	46	nilssssss	Aewheros	Red Glazed Terracotta	60.0	60.0	1	world	[118, 66, -60]
2019	01	31	23	55	47	nilssssss	Aewheros	Red Glazed Terracotta	60.0	60.0	1	world	[118, 66, -60]
2019	01	31	23	55	48	nilssssss	Aewheros	Red Glazed Terracotta	60.0	60.0	1	world	[118, 66, -60]
2019	01	31	23	55	48	nilssssss	Aewheros	Red Glazed Terracotta	60.0	60.0	1	world	[118, 66, -60]
2019	02	12	15	48	57	Mr_Digs	Aewheros	Red Glazed Terracotta	60.0	3840.0	64	world	[118, 66, -60]
2019	05	03	07	33	34	frozenhammerz	Aewheros	Red Glazed Terracotta	60.0	60.0	1	world	[118, 66, -60]
2019	05	03	07	33	35	frozenhammerz	Aewheros	Red Glazed Terracotta	60.0	60.0	1	world	[118, 66, -60]
2019	05	03	07	33	35	frozenhammerz	Aewheros	Red Glazed Terracotta	60.0	60.0	1	world	[118, 66, -60]
