date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/21 12:46:29	pudzo	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:47	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:49	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:50	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:50	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:51	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:52	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:53	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:53	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:54	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:10:55	Heronproject	Remixster	Red Sand	43.75	350.0	8	world	[64, 71, 12]
2018/11/10 17:11:09	Heronproject	Remixster	Red Sand	43.75	2800.0	64	world	[64, 71, 12]
2018/11/10 17:11:10	Heronproject	Remixster	Red Sand	43.75	2800.0	64	world	[64, 71, 12]
2018/11/10 17:11:11	Heronproject	Remixster	Red Sand	43.75	2800.0	64	world	[64, 71, 12]
2018/11/28 21:02:49	freakdown	Remixster	Red Sand	43.75	350.0	8	world	[61, 72, 17]
2019/05/03 07:07:43	frozenhammerz	Remix_D_Miner	Red Sand	43.75	350.0	8	world	[61, 72, 17]
2019/05/18 13:54:48	daboogaoogaman	Remix_D_Miner	Red Sand	43.75	2800.0	64	world	[61, 72, 17]
