year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	17	05	07	48	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	01	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	02	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	03	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	04	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	04	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	05	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	05	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	06	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	07	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	07	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	08	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	08	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	09	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	10	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	10	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	11	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	11	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	12	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	13	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	13	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	14	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	14	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	15	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	16	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	16	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	17	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	17	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	18	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	19	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	19	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	20	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	20	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	21	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	22	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	22	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	23	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	23	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	24	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	25	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	25	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
2019	03	17	05	08	26	dandenoth	EnDristON	Red Stained Glass	30.0	30.0	1	world	[263, 84, 126]
