date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/02/03 16:12:35	Mowilag	sharonclaws	Red Tulip	10.0	10.0	1	world	[4, 58, 22]
2019/03/29 17:51:25	EnDristON	sharonclaws	Red Tulip	10.0	640.0	64	world	[4, 58, 22]
2019/04/01 19:30:21	Haksndot	sharonclaws	Red Tulip	10.0	10.0	1	world	[4, 58, 22]
2019/04/01 19:30:21	Haksndot	sharonclaws	Red Tulip	10.0	10.0	1	world	[4, 58, 22]
2019/04/01 19:30:22	Haksndot	sharonclaws	Red Tulip	10.0	10.0	1	world	[4, 58, 22]
2019/04/01 19:30:23	Haksndot	sharonclaws	Red Tulip	10.0	10.0	1	world	[4, 58, 22]
2019/04/16 02:09:55	__Wildfire_	sharonclaws	Red Tulip	10.0	640.0	64	world	[4, 58, 22]
2019/04/16 02:09:56	__Wildfire_	sharonclaws	Red Tulip	10.0	640.0	64	world	[4, 58, 22]
2019/04/16 02:09:57	__Wildfire_	sharonclaws	Red Tulip	10.0	640.0	64	world	[4, 58, 22]
2019/04/16 02:09:57	__Wildfire_	sharonclaws	Red Tulip	10.0	640.0	64	world	[4, 58, 22]
2019/04/16 02:09:58	__Wildfire_	sharonclaws	Red Tulip	10.0	640.0	64	world	[4, 58, 22]
2019/04/16 02:09:58	__Wildfire_	sharonclaws	Red Tulip	10.0	640.0	64	world	[4, 58, 22]
2019/05/05 01:00:00	__Wildfire_	sharonclaws	Red Tulip	10.0	10.0	1	world	[4, 58, 22]
2019/05/05 01:00:00	__Wildfire_	sharonclaws	Red Tulip	10.0	10.0	1	world	[4, 58, 22]
2019/05/05 01:00:01	__Wildfire_	sharonclaws	Red Tulip	10.0	10.0	1	world	[4, 58, 22]
2019/06/01 08:01:36	magemagemege	sharonclaws	Red Tulip	10.0	640.0	64	world	[4, 58, 22]
